Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
27.0,27.0,100,8.55,1.104398917826783,0.855,0.11043989178267835,0.145,0.1104398917826783,0.0,0.0,0.016000000000000004,0.04865877893737952,1.45,1.1043989178267832,8.55,1.104398917826783,1.22,1.0008077545743546,0.23,0.48938221207451904,18.3,1.4248870236980302,16.03,2.6759497511551054,1.7,1.4248870236980298,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
28.0,28.0,100,8.5,1.0871146130092177,0.85,0.10871146130092181,0.15,0.10871146130092181,0.0,0.0,0.004999999999999999,0.02190429135575903,1.5,1.087114613009218,8.5,1.0871146130092177,1.28,1.0257295999049711,0.22,0.4623173950192375,18.33,1.2148492029295594,16.01,2.698652862582972,1.67,1.2148492029295594,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
29.0,29.0,100,8.43,1.0941072648834331,0.843,0.10941072648834332,0.157,0.10941072648834331,0.0,0.0,0.006999999999999999,0.02931886695621029,1.57,1.0941072648834334,8.43,1.0941072648834331,1.34,1.0271073434405456,0.23,0.5096047190685834,18.27,1.2131851391350708,16.01,2.672323545402601,1.73,1.2131851391350714,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
30.0,30.0,100,8.38,1.1080969216989947,0.838,0.11080969216989948,0.162,0.11080969216989947,0.0,0.0,0.005000000000000002,0.02190429135575904,1.62,1.1080969216989947,8.38,1.1080969216989947,1.4,1.0917505172516255,0.22,0.4623173950192377,18.16,1.2769914137170504,16.07,2.563358749923248,1.84,1.2769914137170504,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
31.0,31.0,100,8.3,1.1590661514488048,0.83,0.11590661514488049,0.17,0.11590661514488049,0.0,0.0,0.008000000000000002,0.030748244591432307,1.7,1.1590661514488048,8.3,1.1590661514488048,1.48,1.1144596008919307,0.22,0.4623173950192374,18.17,1.2231355632392538,16.11,2.4818329817888523,1.83,1.2231355632392538,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
32.0,32.0,100,8.24,1.14697670227235,0.8240000000000001,0.114697670227235,0.17600000000000002,0.11469767022723497,0.0,0.0,0.006,0.023868325657594197,1.76,1.14697670227235,8.24,1.14697670227235,1.59,1.1290024201242725,0.17,0.4277023415055065,18.15,1.1752927853573905,16.12,2.4341011656972027,1.85,1.1752927853573896,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
33.0,33.0,100,8.18,1.1580199052736961,0.818,0.11580199052736966,0.182,0.11580199052736963,0.0,0.0,0.006000000000000001,0.0238683256575942,1.82,1.1580199052736966,8.18,1.1580199052736961,1.71,1.1307903734498579,0.11,0.3993681878855018,18.16,1.1609818206495695,16.03,2.434827270749166,1.84,1.160981820649569,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
34.0,34.0,100,8.11,1.1797534411130917,0.8109999999999999,0.11797534411130921,0.18900000000000003,0.11797534411130921,0.0,0.0,0.006999999999999999,0.025643239997624273,1.89,1.1797534411130917,8.11,1.1797534411130917,1.79,1.1831732712916523,0.1,0.3623715376697393,18.11,1.1,15.96,2.3907228102721474,1.89,1.1,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
35.0,35.0,100,8.05,1.2257753678897498,0.805,0.12257753678897501,0.195,0.12257753678897498,0.0,0.0,0.006000000000000001,0.02777979790634143,1.95,1.22577536788975,8.05,1.2257753678897498,1.81,1.1865832452802454,0.14,0.40251733132897766,18.02,1.189006885487789,15.87,2.364104460253374,1.98,1.1890068854877895,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
36.0,36.0,100,7.96,1.2220201853215573,0.7959999999999999,0.12220201853215576,0.204,0.12220201853215572,0.0,0.0,0.009000000000000003,0.02876234912646615,2.04,1.222020185321557,7.96,1.2220201853215573,1.89,1.1625033941516647,0.15,0.41132945334843113,17.92,1.2282861509790253,15.8,2.3741027013091993,2.08,1.2282861509790253,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
