RunId,priority_range_width,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
188,0,10.0,47,0.25666666666666665,600.0,0.0,0.0,324.0,0,0,
189,0,15.0,47,0.40449999999999997,600.0,2.0,0.1,555.0,0,0,
190,0,20.0,47,0.3459166666666667,600.0,1.0,0.05,518.0,0,0,
191,0,25.0,47,0.23825,600.0,0.0,0.0,315.0,0,0,
192,0,10.0,48,0.36108333333333337,600.0,0.0,0.0,358.0,0,0,
193,0,15.0,48,0.21725,600.0,1.0,0.05,202.0,0,0,
194,0,20.0,48,0.36916666666666664,600.0,4.0,0.2,,0,0,
195,0,25.0,48,0.2075,600.0,0.0,0.0,164.0,0,0,
196,0,10.0,49,0.27958333333333335,600.0,0.0,0.0,327.0,0,0,
197,0,15.0,49,0.26358333333333334,600.0,2.0,0.1,293.0,0,0,
198,0,20.0,49,0.155,600.0,0.0,0.0,172.0,0,0,
199,0,25.0,49,0.17741666666666667,600.0,0.0,0.0,136.0,0,0,
200,0,10.0,50,0.20416666666666666,600.0,1.0,0.05,301.0,0,0,
201,0,15.0,50,0.25416666666666665,600.0,2.0,0.1,456.0,0,0,
202,0,20.0,50,0.26233333333333336,600.0,1.0,0.05,426.0,0,0,
203,0,25.0,50,0.20391666666666666,600.0,0.0,0.0,281.0,0,0,
204,0,10.0,51,0.4760833333333333,600.0,7.0,0.35,,0,0,
205,0,15.0,51,0.27516666666666667,600.0,1.0,0.05,348.0,0,0,
206,0,20.0,51,0.31266666666666665,600.0,4.0,0.2,,0,0,
207,0,25.0,51,0.29025,600.0,2.0,0.1,595.0,0,0,
208,0,10.0,52,0.23800000000000002,600.0,0.0,0.0,264.0,0,0,
209,0,15.0,52,0.23866666666666664,600.0,1.0,0.05,311.0,0,0,
210,0,20.0,52,0.18308333333333332,600.0,0.0,0.0,205.0,0,0,
211,0,25.0,52,0.20608333333333334,600.0,1.0,0.05,208.0,0,0,
212,0,10.0,53,0.3625,600.0,4.0,0.2,,0,0,
213,0,15.0,53,0.31125,600.0,3.0,0.15,,0,0,
214,0,20.0,53,0.29258333333333336,600.0,3.0,0.15,,0,0,
215,0,25.0,53,0.36483333333333334,600.0,4.0,0.2,,0,0,
216,0,10.0,54,0.28675,600.0,2.0,0.1,472.0,0,0,
217,0,15.0,54,0.30366666666666664,600.0,3.0,0.15,,0,0,
218,0,20.0,54,0.33175000000000004,600.0,3.0,0.15,,0,0,
219,0,25.0,54,0.21449999999999997,600.0,0.0,0.0,329.0,0,0,
220,0,10.0,55,0.3448333333333333,600.0,2.0,0.1,380.0,0,0,
221,0,15.0,55,0.29733333333333334,600.0,2.0,0.1,518.0,0,0,
222,0,20.0,55,0.2903333333333334,600.0,2.0,0.1,471.0,0,0,
223,0,25.0,55,0.23458333333333334,600.0,0.0,0.0,282.0,0,0,
224,0,10.0,56,0.39383333333333337,600.0,1.0,0.05,452.0,0,0,
225,0,15.0,56,0.43041666666666667,600.0,3.0,0.15,,0,0,
226,0,20.0,56,0.29691666666666666,600.0,0.0,0.0,326.0,0,0,
227,0,25.0,56,0.2738333333333334,600.0,2.0,0.1,223.0,0,0,
228,0,10.0,57,0.21833333333333332,600.0,2.0,0.1,172.0,0,0,
229,0,15.0,57,0.23941666666666667,600.0,0.0,0.0,223.0,0,0,
230,0,20.0,57,0.30491666666666667,600.0,3.0,0.15,,0,0,
231,0,25.0,57,0.3425,600.0,2.0,0.1,588.0,0,0,
232,0,10.0,58,0.3225,600.0,2.0,0.1,581.0,0,0,
233,0,15.0,58,0.18975,600.0,0.0,0.0,229.0,0,0,
234,0,20.0,58,0.23666666666666666,600.0,1.0,0.05,424.0,0,0,
235,0,25.0,58,0.2378333333333333,600.0,0.0,0.0,440.0,0,0,
236,0,10.0,59,0.1605,600.0,1.0,0.05,264.0,0,0,
237,0,15.0,59,0.12641666666666665,600.0,0.0,0.0,214.0,0,0,
238,0,20.0,59,0.143,600.0,0.0,0.0,266.0,0,0,
239,0,25.0,59,0.18208333333333335,600.0,0.0,0.0,410.0,0,0,
240,0,10.0,60,0.32983333333333337,600.0,3.0,0.15,,0,0,
241,0,15.0,60,0.22808333333333333,600.0,2.0,0.1,219.0,0,0,
242,0,20.0,60,0.24083333333333334,600.0,2.0,0.1,226.0,0,0,
243,0,25.0,60,0.30241666666666667,600.0,2.0,0.1,558.0,0,0,
244,0,10.0,61,0.4048333333333333,600.0,3.0,0.15,,0,0,
245,0,15.0,61,0.28650000000000003,600.0,2.0,0.1,268.0,0,0,
246,0,20.0,61,0.4483333333333333,600.0,4.0,0.2,,0,0,
247,0,25.0,61,0.3779166666666667,600.0,2.0,0.1,551.0,0,0,
248,0,10.0,62,0.32316666666666666,600.0,1.0,0.05,276.0,0,0,
249,0,15.0,62,0.28141666666666665,600.0,0.0,0.0,300.0,0,0,
250,0,20.0,62,0.31333333333333335,600.0,2.0,0.1,449.0,0,0,
251,0,25.0,62,0.25333333333333335,600.0,0.0,0.0,298.0,0,0,
252,0,10.0,63,0.26966666666666667,600.0,2.0,0.1,338.0,0,0,
253,0,15.0,63,0.32358333333333333,600.0,4.0,0.2,,0,0,
254,0,20.0,63,0.24516666666666664,600.0,1.0,0.05,387.0,0,0,
255,0,25.0,63,0.1681666666666667,600.0,0.0,0.0,238.0,0,0,
256,0,10.0,64,0.43175,600.0,5.0,0.25,,0,0,
257,0,15.0,64,0.27299999999999996,600.0,1.0,0.05,345.0,0,0,
258,0,20.0,64,0.27208333333333334,600.0,0.0,0.0,418.0,0,0,
259,0,25.0,64,0.22933333333333333,600.0,0.0,0.0,288.0,0,0,
260,0,10.0,65,0.2564166666666667,600.0,1.0,0.05,420.0,0,0,
261,0,15.0,65,0.27308333333333334,600.0,3.0,0.15,,0,0,
262,0,20.0,65,0.3620833333333333,600.0,4.0,0.2,,0,0,
263,0,25.0,65,0.39016666666666666,600.0,6.0,0.3,,0,0,
264,0,10.0,66,0.22466666666666668,600.0,0.0,0.0,332.0,0,0,
265,0,15.0,66,0.147,600.0,0.0,0.0,166.0,0,0,
266,0,20.0,66,0.19841666666666666,600.0,0.0,0.0,331.0,0,0,
267,0,25.0,66,0.22208333333333333,600.0,0.0,0.0,284.0,0,0,
268,0,10.0,67,0.31625,600.0,2.0,0.1,487.0,0,0,
269,0,15.0,67,0.21616666666666665,600.0,0.0,0.0,313.0,0,0,
270,0,20.0,67,0.18725000000000003,600.0,1.0,0.05,251.0,0,0,
271,0,25.0,67,0.2784166666666667,600.0,4.0,0.2,,0,0,
272,0,10.0,68,0.22733333333333333,600.0,2.0,0.1,164.0,0,0,
273,0,15.0,68,0.32083333333333336,600.0,2.0,0.1,380.0,0,0,
274,0,20.0,68,0.23283333333333336,600.0,1.0,0.05,347.0,0,0,
275,0,25.0,68,0.25833333333333336,600.0,1.0,0.05,514.0,0,0,
276,0,10.0,69,0.36983333333333335,600.0,2.0,0.1,571.0,0,0,
277,0,15.0,69,0.22766666666666666,600.0,1.0,0.05,223.0,0,0,
278,0,20.0,69,0.26533333333333337,600.0,0.0,0.0,355.0,0,0,
279,0,25.0,69,0.30333333333333334,600.0,0.0,0.0,458.0,0,0,
280,0,10.0,70,0.20358333333333334,600.0,1.0,0.05,224.0,0,0,
281,0,15.0,70,0.2425,600.0,1.0,0.05,358.0,0,0,
282,0,20.0,70,0.15475000000000003,600.0,0.0,0.0,108.0,0,0,
283,0,25.0,70,0.30824999999999997,600.0,0.0,0.0,562.0,0,0,
284,0,10.0,71,0.26325,600.0,1.0,0.05,385.0,0,0,
285,0,15.0,71,0.33975,600.0,3.0,0.15,,0,0,
286,0,20.0,71,0.19766666666666666,600.0,1.0,0.05,332.0,0,0,
287,0,25.0,71,0.158,600.0,0.0,0.0,212.0,0,0,
288,0,10.0,72,0.3819166666666667,600.0,5.0,0.25,,0,0,
289,0,15.0,72,0.34208333333333335,600.0,3.0,0.15,,0,0,
290,0,20.0,72,0.33283333333333337,600.0,3.0,0.15,,0,0,
291,0,25.0,72,0.30341666666666667,600.0,1.0,0.05,372.0,0,0,
292,0,10.0,73,0.3505,600.0,3.0,0.15,,0,0,
293,0,15.0,73,0.319,600.0,3.0,0.15,,0,0,
294,0,20.0,73,0.22050000000000003,600.0,0.0,0.0,331.0,0,0,
295,0,25.0,73,0.24233333333333335,600.0,0.0,0.0,380.0,0,0,
296,0,10.0,74,0.30258333333333337,600.0,2.0,0.1,260.0,0,0,
297,0,15.0,74,0.27075,600.0,1.0,0.05,352.0,0,0,
298,0,20.0,74,0.26008333333333333,600.0,1.0,0.05,214.0,0,0,
299,0,25.0,74,0.30441666666666667,600.0,1.0,0.05,552.0,0,0,
300,0,10.0,75,0.3416666666666667,600.0,2.0,0.1,553.0,0,0,
301,0,15.0,75,0.2970833333333333,600.0,1.0,0.05,364.0,0,0,
302,0,20.0,75,0.195,600.0,0.0,0.0,160.0,0,0,
303,0,25.0,75,0.22233333333333336,600.0,1.0,0.05,179.0,0,0,
304,0,10.0,76,0.3645,600.0,1.0,0.05,387.0,0,0,
305,0,15.0,76,0.3396666666666666,600.0,3.0,0.15,,0,0,
306,0,20.0,76,0.25758333333333333,600.0,1.0,0.05,302.0,0,0,
307,0,25.0,76,0.3655833333333333,600.0,4.0,0.2,,0,0,
308,0,10.0,77,0.2255,600.0,0.0,0.0,211.0,0,0,
309,0,15.0,77,0.2759166666666667,600.0,2.0,0.1,369.0,0,0,
310,0,20.0,77,0.14658333333333334,600.0,0.0,0.0,145.0,0,0,
311,0,25.0,77,0.21233333333333335,600.0,0.0,0.0,369.0,0,0,
312,0,10.0,78,0.3189166666666667,600.0,3.0,0.15,,0,0,
313,0,15.0,78,0.3505833333333333,600.0,3.0,0.15,,0,0,
314,0,20.0,78,0.30791666666666667,600.0,4.0,0.2,,0,0,
315,0,25.0,78,0.3393333333333333,600.0,4.0,0.2,,0,0,
316,0,10.0,79,0.2635,600.0,1.0,0.05,487.0,0,0,
317,0,15.0,79,0.32091666666666663,600.0,1.0,0.05,485.0,0,0,
318,0,20.0,79,0.16283333333333333,600.0,0.0,0.0,206.0,0,0,
319,0,25.0,79,0.20825000000000002,600.0,0.0,0.0,237.0,0,0,
320,0,10.0,80,0.38233333333333336,600.0,5.0,0.25,,0,0,
321,0,15.0,80,0.39208333333333334,600.0,4.0,0.2,,0,0,
322,0,20.0,80,0.3545,600.0,3.0,0.15,,0,0,
323,0,25.0,80,0.3060833333333333,600.0,4.0,0.2,,0,0,
324,0,10.0,81,0.2574166666666666,600.0,0.0,0.0,555.0,0,0,
325,0,15.0,81,0.21141666666666667,600.0,1.0,0.05,309.0,0,0,
326,0,20.0,81,0.21816666666666668,600.0,1.0,0.05,364.0,0,0,
327,0,25.0,81,0.24783333333333332,600.0,0.0,0.0,359.0,0,0,
328,0,10.0,82,0.265,600.0,2.0,0.1,277.0,0,0,
329,0,15.0,82,0.26516666666666666,600.0,2.0,0.1,542.0,0,0,
330,0,20.0,82,0.26266666666666666,600.0,2.0,0.1,269.0,0,0,
331,0,25.0,82,0.2325,600.0,1.0,0.05,311.0,0,0,
332,0,10.0,83,0.3369166666666667,600.0,3.0,0.15,,0,0,
333,0,15.0,83,0.32225,600.0,3.0,0.15,,0,0,
334,0,20.0,83,0.28691666666666665,600.0,1.0,0.05,359.0,0,0,
335,0,25.0,83,0.2559166666666667,600.0,2.0,0.1,245.0,0,0,
336,0,10.0,84,0.22483333333333333,600.0,0.0,0.0,272.0,0,0,
337,0,15.0,84,0.24833333333333332,600.0,0.0,0.0,327.0,0,0,
338,0,20.0,84,0.20391666666666666,600.0,0.0,0.0,226.0,0,0,
339,0,25.0,84,0.18083333333333335,600.0,0.0,0.0,209.0,0,0,
340,0,10.0,85,0.16008333333333333,600.0,0.0,0.0,193.0,0,0,
341,0,15.0,85,0.26233333333333336,600.0,1.0,0.05,509.0,0,0,
342,0,20.0,85,0.21791666666666668,600.0,1.0,0.05,219.0,0,0,
343,0,25.0,85,0.2661666666666667,600.0,4.0,0.2,,0,0,
344,0,10.0,86,0.355,600.0,1.0,0.05,540.0,0,0,
345,0,15.0,86,0.2848333333333333,600.0,1.0,0.05,338.0,0,0,
346,0,20.0,86,0.301,600.0,2.0,0.1,543.0,0,0,
347,0,25.0,86,0.24791666666666667,600.0,1.0,0.05,461.0,0,0,
348,0,10.0,87,0.2744166666666667,600.0,1.0,0.05,372.0,0,0,
349,0,15.0,87,0.21166666666666667,600.0,1.0,0.05,228.0,0,0,
350,0,20.0,87,0.282,600.0,2.0,0.1,442.0,0,0,
351,0,25.0,87,0.27325,600.0,3.0,0.15,,0,0,
352,0,10.0,88,0.21441666666666667,600.0,2.0,0.1,421.0,0,0,
353,0,15.0,88,0.24941666666666668,600.0,3.0,0.15,,0,0,
354,0,20.0,88,0.16866666666666666,600.0,0.0,0.0,244.0,0,0,
355,0,25.0,88,0.17616666666666667,600.0,1.0,0.05,305.0,0,0,
356,0,10.0,89,0.24691666666666667,600.0,1.0,0.05,292.0,0,0,
