Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
25.0,25.0,100,17.93,1.615924540692455,0.8965000000000001,0.0807962270346227,0.1035,0.08079622703462273,0.0,0.0,0.006999999999999998,0.018829377433825432,1.19,0.8954994092232512,9.12,0.8075402232218604,0.77,0.8147007878585695,0.11,0.3450955072018601,17.87,1.6856794332004978,15.45,2.811861599824155,2.13,1.6856794332004978,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
26.0,26.0,100,17.76,1.6399063782097223,0.888,0.08199531891048611,0.11200000000000002,0.08199531891048614,0.0,0.0,0.008499999999999997,0.02016973430212162,1.29,0.9352253550061956,9.05,0.808727645156516,0.84,0.7877855422677295,0.11,0.31446603773522014,17.65,1.811160685942313,15.26,2.918488608436866,2.35,1.8111606859423133,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
27.0,27.0,100,17.48,1.8666666666666667,0.8740000000000001,0.09333333333333332,0.126,0.09333333333333332,0.0,0.0,0.014000000000000004,0.03104249287084341,1.45,1.1043989178267832,8.93,0.8558178792384759,0.95,0.8572330399888264,0.12,0.3265986323710904,17.39,1.9586379518079975,15.19,2.92566145503798,2.61,1.958637951807997,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
28.0,28.0,100,17.37,1.8944629579355456,0.8684999999999999,0.09472314789677731,0.1315,0.09472314789677731,0.0,0.0,0.005500000000000001,0.015723301886761014,1.5,1.087114613009218,8.87,0.8950481054731703,1.0,0.8761716542303611,0.13,0.3379976689896311,17.31,1.936856768430268,15.15,2.868762447432338,2.69,1.9368567684302678,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
29.0,29.0,100,17.23,1.9635825843739212,0.8615,0.09817912921869601,0.13849999999999998,0.09817912921869602,0.0,0.0,0.007000000000000002,0.02012586656644889,1.57,1.0941072648834334,8.8,0.9534625892455925,1.07,0.9347932305266143,0.13,0.33799766898963113,17.19,1.9420649220909585,15.08,2.8627880738111844,2.81,1.9420649220909585,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
30.0,30.0,100,17.11,2.014568154340986,0.8554999999999999,0.1007284077170493,0.1445,0.10072840771704933,0.0,0.0,0.005999999999999998,0.01632993161855452,1.62,1.1080969216989947,8.73,0.9729160583347655,1.14,0.9849370589540278,0.13,0.33799766898963113,17.03,1.9871048937048736,15.1,2.73953472419141,2.97,1.987104893704874,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
31.0,31.0,100,17.0,2.0150945537631877,0.85,0.10075472768815938,0.15,0.10075472768815939,0.0,0.0,0.0055000000000000005,0.01725477536009301,1.68,1.1180791609277987,8.68,0.9627401969735587,1.22,0.9906634854551477,0.1,0.30151134457776363,17.01,1.930588438060198,15.0,2.6892979069495504,2.99,1.9305884380601979,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
32.0,32.0,100,16.87,2.0432445974108155,0.8434999999999999,0.10216222987054076,0.1565,0.10216222987054077,0.0,0.0,0.006500000000000001,0.019662557351884866,1.76,1.14697670227235,8.63,0.9708373975724528,1.27,0.9832434473555759,0.1,0.30151134457776363,16.87,1.9779338265529058,14.93,2.6371663703009833,3.13,1.9779338265529063,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
33.0,33.0,100,16.77,2.107490249447231,0.8384999999999999,0.10537451247236153,0.16149999999999998,0.10537451247236157,0.0,0.0,0.005000000000000001,0.015075567228888186,1.84,1.1952769004238593,8.61,0.9938701010583716,1.33,0.9852959356498333,0.06,0.23868325657594203,16.82,2.0468255786693095,14.67,2.752611248772461,3.18,2.046825578669309,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
34.0,34.0,100,16.67,2.0891978065150933,0.8334999999999999,0.10445989032575463,0.16649999999999998,0.10445989032575463,0.0,0.0,0.005,0.01666666666666667,1.92,1.2200347734736285,8.59,0.9649933270298406,1.37,0.9498006170356029,0.04,0.1969463855669324,16.75,1.9765033914885284,14.61,2.7520240485207186,3.25,1.9765033914885288,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
