min_priority,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
1,24.0,24.0,100,4.4,0.7247430753394788,0.88,0.14494861506789575,0.12,0.14494861506789575,0.0,0.0,0.013999999999999999,0.058637733912420574,0.6,0.7247430753394788,4.4,0.7247430753394788,0.49,0.6741249472052228,0.11,0.3450955072018601,19.25,1.0286305498481025,17.78,2.6460567192742035,0.75,1.0286305498481016,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,25.0,25.0,100,4.35,0.7703468981143127,0.87,0.1540693796228626,0.13,0.15406937962286257,0.0,0.0,0.01,0.04380858271151806,0.65,0.7703468981143127,4.35,0.7703468981143127,0.49,0.6589707309451794,0.16,0.4431293675255978,19.18,1.0766577539738047,17.75,2.629955639676584,0.82,1.0766577539738054,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,26.0,26.0,100,4.31,0.8001893715259095,0.862,0.1600378743051819,0.138,0.16003787430518193,0.0,0.0,0.008,0.03938927711338648,0.69,0.8001893715259096,4.31,0.8001893715259095,0.57,0.7142842712828138,0.12,0.3834979883528818,19.21,1.0079983164969104,17.75,2.4633679826980424,0.79,1.0079983164969109,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,27.0,27.0,100,4.26,0.836297757616233,0.852,0.16725955152324656,0.14800000000000002,0.1672595515232466,0.0,0.0,0.010000000000000002,0.04380858271151807,0.74,0.8362977576162326,4.26,0.836297757616233,0.61,0.723278171336114,0.13,0.4181488788081164,19.12,1.1395551143256994,17.72,2.322833518691245,0.88,1.1395551143256997,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,28.0,28.0,100,4.23,0.8391313449880266,0.846,0.16782626899760525,0.154,0.16782626899760528,0.0,0.0,0.006,0.03428932159955306,0.77,0.8391313449880264,4.23,0.8391313449880266,0.65,0.7703468981143127,0.12,0.38349798835288174,19.12,1.0567722918243438,17.78,2.2091636517931494,0.88,1.056772291824344,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,29.0,29.0,100,4.2,0.828775414010748,0.84,0.16575508280214965,0.16,0.16575508280214968,0.0,0.0,0.005999999999999998,0.034289321599553044,0.8,0.828775414010748,4.2,0.828775414010748,0.66,0.7278028371042322,0.14,0.4025173313289777,19.09,1.0258773037864923,17.77,2.178197753773852,0.91,1.0258773037864921,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,30.0,30.0,100,4.17,0.8652085636341442,0.8340000000000001,0.1730417127268288,0.166,0.17304171272682883,0.0,0.0,0.006000000000000001,0.03428932159955306,0.83,0.865208563634144,4.17,0.8652085636341442,0.68,0.8273115763993902,0.15,0.4113294533484312,19.03,1.0488570017409475,17.76,2.132575623015228,0.97,1.0488570017409475,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,31.0,31.0,100,4.11,0.897752524897366,0.8220000000000001,0.1795505049794732,0.17800000000000002,0.17955050497947317,0.0,0.0,0.011999999999999997,0.0477366513151884,0.89,0.8977525248973661,4.11,0.897752524897366,0.82,0.8805416147766871,0.07,0.3258245174347937,19.07,0.9666666666666667,17.78,2.0771970235746715,0.93,0.9666666666666665,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,32.0,32.0,100,4.1,0.8932971498777984,0.82,0.17865942997555967,0.18,0.17865942997555967,0.0,0.0,0.0019999999999999996,0.019999999999999993,0.9,0.8932971498777984,4.1,0.8932971498777984,0.77,0.8270062840990957,0.13,0.4181488788081166,19.01,1.049242150749334,17.84,2.0236979852125985,0.99,1.0492421507493352,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,33.0,33.0,100,4.07,0.8791065253018446,0.8140000000000001,0.17582130506036892,0.18600000000000003,0.17582130506036892,0.0,0.0,0.005999999999999998,0.034289321599553044,0.93,0.8791065253018446,4.07,0.8791065253018446,0.82,0.8211841659112983,0.11,0.3732196796699355,18.99,1.0199524647271703,17.77,2.0833878780738484,1.01,1.0199524647271707,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,34.0,34.0,100,4.03,0.9151364638537508,0.8059999999999999,0.18302729277075017,0.19400000000000003,0.18302729277075014,0.0,0.0,0.007999999999999998,0.03938927711338646,0.97,0.9151364638537508,4.03,0.9151364638537508,0.87,0.8605260312768293,0.1,0.36237153766973934,18.95,1.0576799462440747,17.62,2.1824830636759414,1.05,1.0576799462440747,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,35.0,35.0,100,4.01,0.9155778657672041,0.802,0.1831155731534408,0.198,0.18311557315344076,0.0,0.0,0.004,0.02814105882725794,0.99,0.915577865767204,4.01,0.9155778657672041,0.88,0.9241977137720123,0.11,0.3732196796699355,18.91,1.0258773037864921,17.67,2.0550750189064475,1.09,1.025877303786492,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,36.0,36.0,100,3.95,0.925235432774062,0.79,0.18504708655481245,0.21,0.18504708655481242,0.0,0.0,0.012000000000000002,0.0477366513151884,1.05,0.925235432774062,3.95,0.925235432774062,0.94,0.8969082698049139,0.11,0.3732196796699355,18.87,1.031376446181206,17.59,2.0601804373266517,1.13,1.0313764461812058,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,37.0,37.0,100,3.89,0.941683427043121,0.778,0.18833668540862417,0.22200000000000003,0.18833668540862417,0.0,0.0,0.012000000000000002,0.0477366513151884,1.11,0.941683427043121,3.89,0.941683427043121,1.0,0.9320337272260422,0.11,0.3732196796699355,18.79,1.0664298979645719,17.54,2.1481493091834793,1.21,1.0664298979645719,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,38.0,38.0,100,3.86,0.932250454057765,0.772,0.186450090811553,0.228,0.186450090811553,0.0,0.0,0.006,0.03428932159955306,1.14,0.9322504540577653,3.86,0.932250454057765,1.0,0.9534625892455922,0.14,0.40251733132897766,18.72,1.0738395192631498,17.49,2.153198231994126,1.28,1.07383951926315,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,39.0,39.0,100,3.83,0.9326296048260423,0.7659999999999999,0.1865259209652085,0.234,0.1865259209652085,0.0,0.0,0.006000000000000001,0.04454030067072273,1.17,0.9326296048260425,3.83,0.9326296048260423,1.06,0.9515537533185108,0.11,0.3993681878855018,18.75,1.0286305498481016,17.47,2.2583403220287703,1.25,1.0286305498481019,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,40.0,40.0,100,3.78,0.9382984815100367,0.7559999999999999,0.1876596963020073,0.24400000000000002,0.1876596963020073,0.0,0.0,0.009999999999999998,0.04380858271151805,1.22,0.9382984815100366,3.78,0.9382984815100367,1.07,0.8791065253018446,0.15,0.4351941398892445,18.66,1.121146599232097,17.44,2.1523771214002605,1.34,1.121146599232097,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,41.0,41.0,100,3.77,0.9412542674323426,0.754,0.1882508534864685,0.24600000000000002,0.18825085348646853,0.0,0.0,0.0020000000000000005,0.02,1.23,0.9412542674323424,3.77,0.9412542674323426,1.13,0.9282872247947678,0.1,0.3623715376697393,18.69,1.060731594302496,17.42,2.161088390210597,1.31,1.0607315943024962,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,42.0,42.0,100,3.74,0.9387289924212,0.748,0.18774579848423997,0.252,0.18774579848423997,0.0,0.0,0.006000000000000001,0.034289321599553065,1.26,0.9387289924211998,3.74,0.9387289924212,1.1,0.9265990819042823,0.16,0.506921785850339,18.61,1.136137351207186,17.38,2.237332466500355,1.39,1.1361373512071862,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,43.0,43.0,100,3.69,0.9607972278953105,0.738,0.19215944557906212,0.262,0.19215944557906214,0.0,0.0,0.01,0.04380858271151806,1.31,0.9607972278953105,3.69,0.9607972278953105,1.17,0.9540450828980882,0.14,0.4025173313289777,18.56,1.1130084810044707,17.39,2.1644277476385003,1.44,1.1130084810044705,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,44.0,44.0,100,3.63,0.9811866655877833,0.726,0.19623733311755667,0.274,0.19623733311755667,0.0,0.0,0.012000000000000002,0.047736651315188415,1.37,0.9811866655877833,3.63,0.9811866655877833,1.21,0.9459643147859672,0.16,0.44312936752559784,18.52,1.1234866364235148,17.32,2.0786553540229025,1.48,1.1234866364235143,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,45.0,45.0,100,3.6,0.9847319278346619,0.72,0.19694638556693242,0.28,0.19694638556693236,0.0,0.0,0.006,0.03428932159955305,1.4,0.9847319278346619,3.6,0.9847319278346619,1.31,0.9815983667138782,0.09,0.37859388972001823,18.56,1.0280903155704257,17.31,2.0185753552063557,1.44,1.0280903155704253,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,46.0,46.0,100,3.55,1.0087996667707455,0.71,0.20175993335414916,0.29,0.20175993335414918,0.0,0.0,0.01,0.043808582711518065,1.45,1.0087996667707457,3.55,1.0087996667707455,1.34,1.0271073434405456,0.11,0.3993681878855018,18.48,1.0586822378825864,17.36,1.9670004852797855,1.52,1.058682237882586,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,47.0,47.0,100,3.54,1.0092501466860724,0.708,0.20185002933721444,0.29200000000000004,0.20185002933721446,0.0,0.0,0.0020000000000000005,0.020000000000000004,1.46,1.0092501466860722,3.54,1.0092501466860724,1.29,0.9877532918986226,0.17,0.4725815626252609,18.41,1.1728838670800137,17.37,1.8676133962840917,1.59,1.172883867080013,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,48.0,48.0,100,3.47,0.9995453511926857,0.6940000000000001,0.19990907023853707,0.306,0.1999090702385371,0.0,0.0,0.013999999999999999,0.05128647999524855,1.53,0.9995453511926856,3.47,0.9995453511926857,1.39,0.9938701010583717,0.14,0.44991581704163547,18.38,1.1080969216989947,17.24,2.0056485890170945,1.62,1.1080969216989944,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,49.0,49.0,100,3.47,0.9995453511926857,0.6940000000000001,0.19990907023853707,0.306,0.1999090702385371,0.0,0.0,0.0,0.0,1.53,0.9995453511926856,3.47,0.9995453511926857,1.41,1.015983376941878,0.12,0.40898988651643614,18.4,1.0636320469566212,17.16,2.0924105281186622,1.6,1.063632046956621,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,50.0,50.0,100,3.39,1.003981970943601,0.6779999999999999,0.20079639418872025,0.322,0.2007963941887202,0.0,0.0,0.015999999999999997,0.054531984868858144,1.61,1.0039819709436013,3.39,1.003981970943601,1.49,1.0100005000498813,0.12,0.4089898865164361,18.29,1.1218221108914055,17.17,2.0303505195712463,1.71,1.1218221108914055,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,51.0,51.0,100,3.36,1.0300534457056592,0.672,0.20601068914113177,0.32800000000000007,0.20601068914113183,0.0,0.0,0.006000000000000001,0.03428932159955306,1.64,1.0300534457056592,3.36,1.0300534457056592,1.51,1.0298082590973185,0.13,0.4416452253228886,18.29,1.1036669824185228,17.12,1.9862151205371752,1.71,1.103666982418523,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,52.0,52.0,100,3.33,1.0352865216055802,0.6659999999999999,0.20705730432111605,0.33399999999999996,0.20705730432111605,0.0,0.0,0.006000000000000001,0.034289321599553065,1.67,1.0352865216055804,3.33,1.0352865216055802,1.55,1.0187633620614691,0.12,0.40898988651643614,18.27,1.099632629195732,17.08,2.013489859458303,1.73,1.0996326291957323,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,53.0,53.0,100,3.29,1.0473149893268439,0.6579999999999999,0.20946299786536882,0.342,0.20946299786536873,0.0,0.0,0.007999999999999998,0.03938927711338647,1.71,1.0473149893268439,3.29,1.0473149893268439,1.57,1.0274514906585934,0.14,0.47183287573701627,18.21,1.1307903734498579,17.12,1.7938165396098285,1.79,1.1307903734498577,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,54.0,54.0,100,3.22,1.030641655582687,0.644,0.20612833111653744,0.35600000000000004,0.20612833111653744,0.0,0.0,0.013999999999999999,0.058637733912420574,1.78,1.030641655582687,3.22,1.030641655582687,1.64,1.0300534457056592,0.14,0.47183287573701627,18.13,1.1250589210159514,17.1,1.7837651700316899,1.87,1.125058921015951,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,55.0,55.0,100,3.17,1.015585615009459,0.634,0.20311712300189183,0.366,0.20311712300189183,0.0,0.0,0.01,0.05222329678670936,1.83,1.015585615009459,3.17,1.015585615009459,1.74,1.031033609069221,0.09,0.42864597716224256,18.13,1.069834311725631,17.13,1.7445731149869739,1.87,1.0698343117256308,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,56.0,56.0,100,3.15,1.0286305498481016,0.63,0.20572610996962032,0.37,0.20572610996962035,0.0,0.0,0.003999999999999999,0.028141058827257932,1.85,1.0286305498481019,3.15,1.0286305498481016,1.7,1.0588730430094633,0.15,0.47937248544110234,18.03,1.175980141383898,17.07,1.6832808272639308,1.97,1.1759801413838982,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,57.0,57.0,100,3.11,1.0039819709436013,0.622,0.2007963941887202,0.37800000000000006,0.20079639418872025,0.0,0.0,0.008000000000000002,0.03938927711338649,1.89,1.003981970943601,3.11,1.0039819709436013,1.79,0.9877532918986228,0.1,0.3892494720807615,18.05,1.1135075167680684,17.14,1.570047930813103,1.95,1.1135075167680684,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,58.0,58.0,100,3.06,1.0329911456884355,0.612,0.20659822913768713,0.38800000000000007,0.2065982291376872,0.0,0.0,0.01,0.05945883900105633,1.94,1.0329911456884355,3.06,1.0329911456884355,1.82,1.0188129357147946,0.12,0.4089898865164361,18.01,1.0963207522979723,17.06,1.6256777918235468,1.99,1.096320752297972,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,59.0,59.0,100,3.03,1.0294158390548351,0.606,0.205883167810967,0.39399999999999996,0.205883167810967,0.0,0.0,0.006000000000000001,0.03428932159955306,1.97,1.029415839054835,3.03,1.0294158390548351,1.83,1.0352865216055802,0.14,0.47183287573701627,17.96,1.0910100963341403,17.14,1.5571276327412804,2.04,1.0910100963341403,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,60.0,60.0,100,3.01,1.0199524647271705,0.602,0.20399049294543412,0.39799999999999996,0.20399049294543417,0.0,0.0,0.003999999999999999,0.028141058827257932,1.99,1.0199524647271705,3.01,1.0199524647271705,1.87,1.0115993936995678,0.12,0.43298354180586063,17.98,1.0442724982039173,17.14,1.5110368371526628,2.02,1.0442724982039173,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,61.0,61.0,100,2.97,0.9687542766279016,0.594,0.1937508553255803,0.406,0.1937508553255803,0.0,0.0,0.008,0.039389277113386474,2.03,0.9687542766279016,2.97,0.9687542766279016,1.91,0.9438262980061961,0.12,0.43298354180586063,17.92,1.060588744447387,17.14,1.5700479308131026,2.08,1.060588744447387,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
1,62.0,62.0,100,2.94,0.940878592195893,0.5880000000000001,0.1881757184391786,0.41200000000000003,0.1881757184391786,0.0,0.0,0.006000000000000001,0.034289321599553065,2.06,0.9408785921958929,2.94,0.940878592195893,1.94,0.9408785921958926,0.12,0.43298354180586063,17.91,0.9649933270298414,17.14,1.5243478486344126,2.09,0.9649933270298409,5.0,0.0,5.0,0.0,1.0,0.0,0.25,0.0,0.63,0.7608474807008885
