RunId,drone_type,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
96,quadcopter,48,0.32966666666666666,600.0,1.0,0.05,425.0,0,0,
97,fixed_wing,48,0.4845,600.0,6.0,0.3,,0,0,
98,quadcopter,49,0.2574166666666666,600.0,1.0,0.05,350.0,0,0,
99,fixed_wing,49,0.5514166666666667,600.0,8.0,0.4,,0,0,
100,quadcopter,50,0.18475,600.0,0.0,0.0,244.0,0,0,
101,fixed_wing,50,0.5895,600.0,9.0,0.45,,0,0,
102,quadcopter,51,0.31875,600.0,1.0,0.05,482.0,0,0,
103,fixed_wing,51,0.5295833333333333,600.0,12.0,0.6,,0,0,
104,quadcopter,52,0.27525,600.0,1.0,0.05,317.0,0,0,
105,fixed_wing,52,0.60625,600.0,13.0,0.65,,0,0,
106,quadcopter,53,0.28650000000000003,600.0,2.0,0.1,448.0,0,0,
107,fixed_wing,53,0.5710000000000001,600.0,13.0,0.65,,0,0,
108,quadcopter,54,0.29766666666666663,600.0,4.0,0.2,,0,0,
109,fixed_wing,54,0.52975,600.0,8.0,0.4,,0,0,
110,quadcopter,55,0.2669166666666667,600.0,1.0,0.05,498.0,0,0,
111,fixed_wing,55,0.59575,600.0,9.0,0.45,,0,0,
112,quadcopter,56,0.33199999999999996,600.0,3.0,0.15,,0,0,
113,fixed_wing,56,0.5702499999999999,600.0,12.0,0.6,,0,0,
114,quadcopter,57,0.22025,600.0,1.0,0.05,166.0,0,0,
115,fixed_wing,57,0.5064166666666667,600.0,7.0,0.35,,0,0,
116,quadcopter,58,0.16766666666666666,600.0,0.0,0.0,170.0,0,0,
117,fixed_wing,58,0.49125,600.0,7.0,0.35,,0,0,
118,quadcopter,59,0.19591666666666666,600.0,1.0,0.05,171.0,0,0,
119,fixed_wing,59,0.5231666666666667,600.0,8.0,0.4,,0,0,
120,quadcopter,60,0.3109166666666667,600.0,2.0,0.1,466.0,0,0,
121,fixed_wing,60,0.5555833333333333,600.0,11.0,0.55,,0,0,
122,quadcopter,61,0.3690833333333333,600.0,4.0,0.2,,0,0,
123,fixed_wing,61,0.5341666666666667,600.0,7.0,0.35,,0,0,
124,quadcopter,62,0.23650000000000002,600.0,0.0,0.0,298.0,0,0,
125,fixed_wing,62,0.47208333333333335,600.0,8.0,0.4,,0,0,
126,quadcopter,63,0.17541666666666667,600.0,0.0,0.0,243.0,0,0,
127,fixed_wing,63,0.5225,600.0,11.0,0.55,,0,0,
128,quadcopter,64,0.2965833333333333,600.0,0.0,0.0,338.0,0,0,
129,fixed_wing,64,0.5630000000000001,600.0,13.0,0.65,,0,0,
130,quadcopter,65,0.32708333333333334,600.0,2.0,0.1,458.0,0,0,
131,fixed_wing,65,0.5439166666666667,600.0,10.0,0.5,,0,0,
132,quadcopter,66,0.25633333333333336,600.0,1.0,0.05,436.0,0,0,
133,fixed_wing,66,0.508,600.0,9.0,0.45,,0,0,
134,quadcopter,67,0.259,600.0,2.0,0.1,236.0,0,0,
135,fixed_wing,67,0.5735,600.0,10.0,0.5,,0,0,
136,quadcopter,68,0.3115833333333333,600.0,2.0,0.1,484.0,0,0,
137,fixed_wing,68,0.5625833333333333,600.0,8.0,0.4,,0,0,
138,quadcopter,69,0.30474999999999997,600.0,2.0,0.1,447.0,0,0,
139,fixed_wing,69,0.6114166666666667,600.0,8.0,0.4,,0,0,
140,quadcopter,70,0.22558333333333333,600.0,0.0,0.0,293.0,0,0,
141,fixed_wing,70,0.6003333333333333,600.0,7.0,0.35,,0,0,
142,quadcopter,71,0.35400000000000004,600.0,1.0,0.05,568.0,0,0,
143,fixed_wing,71,0.49833333333333335,600.0,8.0,0.4,,0,0,
144,quadcopter,72,0.3278333333333333,600.0,3.0,0.15,,0,0,
145,fixed_wing,72,0.44875,600.0,6.0,0.3,,0,0,
146,quadcopter,73,0.29275,600.0,3.0,0.15,,0,0,
147,fixed_wing,73,0.49899999999999994,600.0,9.0,0.45,,0,0,
148,quadcopter,74,0.28,600.0,1.0,0.05,522.0,0,0,
149,fixed_wing,74,0.5808333333333333,600.0,10.0,0.5,,0,0,
150,quadcopter,75,0.30266666666666664,600.0,3.0,0.15,,0,0,
151,fixed_wing,75,0.52425,600.0,11.0,0.55,,0,0,
152,quadcopter,76,0.28191666666666665,600.0,1.0,0.05,341.0,0,0,
153,fixed_wing,76,0.5619999999999999,600.0,9.0,0.45,,0,0,
154,quadcopter,77,0.2776666666666667,600.0,1.0,0.05,294.0,0,0,
155,fixed_wing,77,0.5428333333333333,600.0,12.0,0.6,,0,0,
156,quadcopter,78,0.19858333333333333,600.0,0.0,0.0,201.0,0,0,
