coverage_radius,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
8.0,26.0,26.0,100,27.73,1.8138357147217055,0.9243333333333333,0.06046119049072347,0.11349999999999999,0.09069178573608527,0.33333333333333326,0.0,0.009666666666666664,0.017912995865444196,1.35,1.1135075167680684,14.08,0.8248660742229855,0.55,0.701729465267237,0.37,0.5252224156094119,17.31,2.3514233815270096,6.37,4.026816673906637,2.69,2.35142338152701,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,27.0,27.0,100,27.44,2.026690589970444,0.9146666666666667,0.0675563529990148,0.128,0.10133452949852222,0.33333333333333326,0.0,0.009666666666666667,0.018528953289076437,1.44,1.1661903789690597,13.88,0.9458041311738147,0.69,0.7613783354528612,0.43,0.6396811074214395,17.01,2.576094452123723,6.49,4.125542511003978,2.99,2.5760944521237232,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,28.0,28.0,100,27.23,2.093062132596424,0.9076666666666666,0.06976873775321411,0.13849999999999998,0.10465310662982122,0.33333333333333326,0.0,0.006999999999999998,0.015201600719068953,1.56,1.2003366531136508,13.79,0.9670845491747477,0.85,0.9142530206997327,0.36,0.5416025603090641,16.76,2.5980567718775873,6.63,4.103841511500554,3.24,2.598056771877588,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,29.0,29.0,100,27.02,2.088835159420753,0.9006666666666666,0.06962783864735841,0.149,0.10444175797103766,0.33333333333333326,0.0,0.0069999999999999975,0.014444444444444432,1.67,1.2148492029295594,13.69,0.9502259167846838,0.97,0.8814015468948799,0.34,0.5898125023079691,16.65,2.544056253745624,6.69,4.186787780529594,3.35,2.544056253745624,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,30.0,30.0,100,26.78,2.1954038306876438,0.8926666666666666,0.07318012768958808,0.161,0.10977019153438221,0.33333333333333326,0.0,0.008000000000000002,0.017803012393428918,1.8,1.2633129445864142,13.58,1.0168281044205032,1.04,0.952614689932266,0.38,0.5993262210114948,16.34,2.4953289696283867,6.76,4.146606255040792,3.66,2.4953289696283862,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,31.0,31.0,100,26.58,2.2164672956593066,0.8859999999999999,0.0738822431886435,0.171,0.11082336478296524,0.33333333333333326,0.0,0.006666666666666669,0.01641219879724437,1.89,1.230052967571032,13.47,1.0679443105822746,1.18,1.0577276959538684,0.35,0.5573204290227127,16.3,2.384715640672633,6.91,4.141670477408161,3.7,2.384715640672633,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,32.0,32.0,100,26.42,2.193562666466853,0.8806666666666666,0.07311875554889508,0.179,0.10967813332334267,0.33333333333333326,0.0,0.005333333333333331,0.012281764972582349,2.0,1.2309149097933272,13.42,1.0747797519266515,1.19,1.0889249633273983,0.39,0.6178326405404394,16.09,2.408297944586381,7.02,4.0799584073934625,3.91,2.4082979445863812,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,33.0,33.0,100,26.25,2.1898526309901647,0.875,0.07299508769967211,0.1875,0.10949263154950818,0.33333333333333326,0.0,0.005666666666666669,0.01344648953474775,2.05,1.2257753678897503,13.3,1.068369852351769,1.42,1.1026139740442145,0.28,0.5140451577852128,16.12,2.2530787017686786,6.96,4.1849176041512886,3.88,2.253078701768679,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,34.0,34.0,100,26.05,2.235503242555185,0.8683333333333333,0.0745167747518395,0.1975,0.11177516212775927,0.33333333333333326,0.0,0.006666666666666659,0.018349396085439333,2.19,1.3080558478177071,13.24,1.0261234296756374,1.45,1.0576799462440747,0.31,0.5630903187506485,15.92,2.3123733926575767,7.06,4.143438283368151,4.08,2.312373392657576,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,35.0,35.0,100,25.87,2.2637012687948546,0.8623333333333334,0.07545670895982846,0.2065,0.11318506343974273,0.33333333333333326,0.0,0.0059999999999999975,0.014510339206347903,2.27,1.3246306899081208,13.14,1.0251385715643964,1.57,1.0754843869934452,0.29,0.5558685986722932,15.82,2.2758281875822566,6.96,4.079809858908683,4.18,2.2758281875822566,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,36.0,36.0,100,25.73,2.251172533987072,0.8576666666666667,0.07503908446623575,0.21350000000000002,0.11255862669935364,0.33333333333333326,0.0,0.004666666666666663,0.011624502933992554,2.35,1.290016051892927,13.08,1.060588744447387,1.67,1.0829719677019727,0.25,0.5198095999517709,15.69,2.3599991439820394,6.93,4.05082607861556,4.31,2.3599991439820394,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,37.0,37.0,100,25.59,2.2069449609371916,0.853,0.07356483203123969,0.2205,0.11034724804685958,0.33333333333333326,0.0,0.004666666666666667,0.012552918289216957,2.42,1.2806248474865698,13.01,1.039570618431991,1.8,1.1009637651263606,0.19,0.4860685407045247,15.64,2.254154413790706,6.97,4.125444573533006,4.36,2.2541544137907055,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,38.0,38.0,100,25.45,2.2219065432345912,0.8483333333333333,0.07406355144115302,0.2275,0.11109532716172951,0.33333333333333326,0.0,0.004666666666666663,0.011624502933992557,2.49,1.2592686670276427,12.94,1.071391052734149,1.84,1.0891568419023157,0.22,0.5237780391954538,15.46,2.337312624154138,7.0,4.165757476562378,4.54,2.3373126241541384,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,39.0,39.0,100,25.2,2.278578326922118,0.84,0.07595261089740388,0.24,0.11392891634610582,0.33333333333333326,0.0,0.008333333333333337,0.019748701814158737,2.63,1.2605514265550213,12.83,1.1196590390098062,1.94,1.1705131396532933,0.23,0.4682872294787989,15.29,2.147561454771482,6.91,4.214201579124443,4.71,2.1475614547714814,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,40.0,40.0,100,24.98,2.369758969970908,0.8326666666666667,0.07899196566569688,0.251,0.11848794849854535,0.33333333333333326,0.0,0.007333333333333331,0.016804146781256572,2.73,1.316983084342561,12.71,1.1307903734498579,2.07,1.1393334929162788,0.22,0.4836728170358492,15.14,2.2653293737814755,6.88,4.1469959919893515,4.86,2.265329373781476,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,41.0,41.0,100,24.74,2.39367854351769,0.8246666666666667,0.07978928478392297,0.263,0.11968392717588448,0.33333333333333326,0.0,0.008000000000000002,0.01507184440694504,2.84,1.331210431194562,12.58,1.1475049789729355,2.12,1.1744760275944075,0.3,0.611340636419152,14.87,2.2637012687948546,6.92,4.081691073587273,5.13,2.263701268794854,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,42.0,42.0,100,24.62,2.402776172125346,0.8206666666666667,0.08009253907084485,0.26899999999999996,0.12013880860626733,0.33333333333333326,0.0,0.0040000000000000036,0.010886621079036356,2.88,1.3354528608057805,12.5,1.159066151448805,2.23,1.2379112417391813,0.27,0.5290548080293666,14.77,2.0930621325964243,7.04,3.9693777340988343,5.23,2.093062132596424,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,43.0,43.0,100,24.42,2.454350908863356,0.8140000000000001,0.08181169696211188,0.27899999999999997,0.12271754544316782,0.33333333333333326,0.0,0.006666666666666669,0.01708235810635128,2.97,1.3518038827336376,12.39,1.1882845627290632,2.31,1.3080558478177076,0.3,0.6276459144608478,14.63,2.1865290052750486,7.0,3.9974739498585827,5.37,2.186529005275048,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,44.0,44.0,100,24.28,2.514925144979167,0.8093333333333333,0.08383083816597223,0.28600000000000003,0.12574625724895835,0.33333333333333326,0.0,0.004666666666666667,0.012552918289216959,3.02,1.3557211357723231,12.3,1.2268049987877068,2.44,1.2498080660726278,0.26,0.5617433182117573,14.53,2.2805944644129763,7.22,4.034147175592809,5.47,2.2805944644129768,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,45.0,45.0,100,24.09,2.462219578454621,0.8029999999999999,0.08207398594848736,0.2955,0.12311097892273107,0.33333333333333326,0.0,0.006333333333333334,0.016202284690150826,3.17,1.3562798197624817,12.26,1.1944315244779276,2.39,1.1711601776085803,0.35,0.6871842709362768,14.33,2.3912931288913177,7.34,4.000555516980667,5.67,2.3912931288913177,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,46.0,46.0,100,23.87,2.493040819010495,0.7956666666666666,0.08310136063368322,0.3065,0.12465204095052482,0.33333333333333326,0.0,0.0073333333333333375,0.015410579833974595,3.27,1.3842913805491337,12.14,1.1893466502855483,2.58,1.2158880862907728,0.28,0.6043612539305654,14.26,2.2546024756555916,7.32,3.984515483263134,5.74,2.2546024756555916,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,47.0,47.0,100,23.74,2.5330940875864947,0.7913333333333334,0.08443646958621649,0.313,0.12665470437932475,0.33333333333333326,0.0,0.004333333333333332,0.013108371567923245,3.35,1.4097424365371631,12.09,1.2151817422372124,2.69,1.1780398031381525,0.22,0.561023595535406,14.16,2.3429240127014213,7.29,3.893260169507653,5.84,2.3429240127014213,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,48.0,48.0,100,23.55,2.544056253745625,0.785,0.08480187512485417,0.3225,0.12720281268728126,0.33333333333333326,0.0,0.006333333333333334,0.018161885819505726,3.49,1.424851578306323,12.04,1.246571054508885,2.73,1.2131851391350708,0.23,0.5659532050470518,14.03,2.289435553038161,7.3,3.94020970574569,5.97,2.289435553038161,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
