RunId,coverage_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
40,8.0,10,0.40694444444444444,600.0,9.0,0.3,132.0,0,0,
41,10.0,10,0.40422222222222215,600.0,7.0,0.2333333333333333,178.0,0,0,
42,12.0,10,0.3432222222222222,600.0,5.0,0.1666666666666666,135.0,0,0,
43,15.0,10,0.2938333333333333,600.0,3.0,0.1,131.0,0,0,
44,8.0,11,0.5049444444444444,600.0,10.0,0.3333333333333333,393.0,0,0,
45,10.0,11,0.5452222222222222,600.0,11.0,0.3666666666666666,414.0,0,0,
46,12.0,11,0.45877777777777773,600.0,9.0,0.3,251.0,0,0,
47,15.0,11,0.453,600.0,7.0,0.2333333333333333,314.0,0,0,
48,8.0,12,0.40349999999999997,600.0,7.0,0.2333333333333333,200.0,0,0,
49,10.0,12,0.35777777777777775,600.0,6.0,0.2,194.0,0,0,
50,12.0,12,0.3425,600.0,6.0,0.2,155.0,0,0,
51,15.0,12,0.33016666666666666,600.0,1.0,0.0333333333333333,176.0,0,0,
52,8.0,13,0.5068888888888888,600.0,11.0,0.3666666666666666,334.0,0,0,
53,10.0,13,0.4948333333333333,600.0,7.0,0.2333333333333333,487.0,0,0,
54,12.0,13,0.5852222222222222,600.0,11.0,0.3666666666666666,512.0,0,0,
55,15.0,13,0.46061111111111114,600.0,7.0,0.2333333333333333,319.0,0,0,
56,8.0,14,0.5628333333333333,600.0,9.0,0.3,478.0,0,0,
57,10.0,14,0.5595,600.0,9.0,0.3,409.0,0,0,
58,12.0,14,0.4726666666666666,600.0,5.0,0.1666666666666666,312.0,0,0,
59,15.0,14,0.5563888888888888,600.0,12.0,0.4,420.0,0,0,
60,8.0,15,0.4096111111111111,600.0,7.0,0.2333333333333333,179.0,0,0,
61,10.0,15,0.6266111111111111,600.0,17.0,0.5666666666666667,,0,0,
62,12.0,15,0.6445,600.0,17.0,0.5666666666666667,,0,0,
63,15.0,15,0.4697777777777778,600.0,9.0,0.3,137.0,0,0,
64,8.0,16,0.37755555555555553,600.0,5.0,0.1666666666666666,224.0,0,0,
65,10.0,16,0.3885,600.0,5.0,0.1666666666666666,254.0,0,0,
66,12.0,16,0.3598333333333333,600.0,5.0,0.1666666666666666,194.0,0,0,
67,15.0,16,0.41588888888888886,600.0,6.0,0.2,192.0,0,0,
68,8.0,17,0.4751111111111111,600.0,11.0,0.3666666666666666,277.0,0,0,
69,10.0,17,0.4134444444444444,600.0,7.0,0.2333333333333333,165.0,0,0,
70,12.0,17,0.49399999999999994,600.0,6.0,0.2,378.0,0,0,
71,15.0,17,0.44361111111111107,600.0,7.0,0.2333333333333333,277.0,0,0,
72,8.0,18,0.48883333333333334,600.0,7.0,0.2333333333333333,352.0,0,0,
73,10.0,18,0.4471666666666667,600.0,7.0,0.2333333333333333,236.0,0,0,
74,12.0,18,0.3793333333333333,600.0,3.0,0.1,185.0,0,0,
75,15.0,18,0.4347222222222222,600.0,5.0,0.1666666666666666,192.0,0,0,
76,8.0,19,0.3586111111111111,600.0,7.0,0.2333333333333333,106.0,0,0,
77,10.0,19,0.30877777777777776,600.0,2.0,0.0666666666666666,101.0,0,0,
78,12.0,19,0.34083333333333327,600.0,4.0,0.1333333333333333,98.0,0,0,
79,15.0,19,0.3507777777777778,600.0,1.0,0.0333333333333333,101.0,0,0,
80,8.0,20,0.4006111111111111,600.0,8.0,0.2666666666666666,145.0,0,0,
81,10.0,20,0.3854444444444444,600.0,5.0,0.1666666666666666,215.0,0,0,
82,12.0,20,0.5023333333333333,600.0,11.0,0.3666666666666666,530.0,0,0,
83,15.0,20,0.43816666666666665,600.0,9.0,0.3,234.0,0,0,
84,8.0,21,0.47361111111111115,600.0,9.0,0.3,279.0,0,0,
85,10.0,21,0.5489444444444445,600.0,10.0,0.3333333333333333,525.0,0,0,
86,12.0,21,0.41238888888888886,600.0,5.0,0.1666666666666666,274.0,0,0,
87,15.0,21,0.45616666666666666,600.0,6.0,0.2,344.0,0,0,
88,8.0,22,0.4244444444444444,600.0,8.0,0.2666666666666666,175.0,0,0,
89,10.0,22,0.3501111111111111,600.0,7.0,0.2333333333333333,156.0,0,0,
90,12.0,22,0.2922222222222222,600.0,2.0,0.0666666666666666,135.0,0,0,
91,15.0,22,0.3406111111111111,600.0,5.0,0.1666666666666666,107.0,0,0,
92,8.0,23,0.45011111111111113,600.0,6.0,0.2,326.0,0,0,
93,10.0,23,0.40455555555555556,600.0,6.0,0.2,225.0,0,0,
94,12.0,23,0.36477777777777776,600.0,3.0,0.1,180.0,0,0,
95,15.0,23,0.23677777777777778,600.0,0.0,0.0,118.0,0,0,
96,8.0,24,0.5209444444444444,600.0,8.0,0.2666666666666666,330.0,0,0,
97,10.0,24,0.4646666666666667,600.0,8.0,0.2666666666666666,239.0,0,0,
98,12.0,24,0.5033333333333333,600.0,10.0,0.3333333333333333,284.0,0,0,
99,15.0,24,0.49088888888888893,600.0,1.0,0.0333333333333333,359.0,0,0,
100,8.0,25,0.41177777777777774,600.0,6.0,0.2,235.0,0,0,
101,10.0,25,0.42194444444444446,600.0,9.0,0.3,185.0,0,0,
102,12.0,25,0.42338888888888887,600.0,8.0,0.2666666666666666,240.0,0,0,
