RunId,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
90,90,0.169125,1200.0,0.0,0.0,589.0,1,1,0.0
91,91,0.14470833333333333,1200.0,0.0,0.0,386.0,1,1,0.0
92,92,0.1275,1200.0,0.0,0.0,302.0,1,1,0.0
93,93,0.1582916666666667,1200.0,0.0,0.0,492.0,1,1,0.0
94,94,0.14229166666666668,1200.0,0.0,0.0,475.0,1,1,0.0
95,95,0.13641666666666666,1200.0,0.0,0.0,346.0,1,1,0.0
96,96,0.13433333333333336,1200.0,0.0,0.0,271.0,1,1,0.0
97,97,0.07979166666666666,1200.0,0.0,0.0,168.0,1,1,0.0
98,98,0.077875,1200.0,0.0,0.0,171.0,1,1,0.0
99,99,0.13445833333333332,1200.0,0.0,0.0,298.0,1,1,0.0
