RunId,priority_range_width,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
105,2,11,0.19858333333333333,600.0,1.0,0.05,269.0,0,0,
106,2,8,0.26771929824561397,600.0,3.0,0.1578947368421052,,0,0,
107,2,5,0.16333333333333327,600.0,1.0,0.0555555555555555,195.0,0,0,
108,2,6,0.471969696969697,600.0,5.0,0.2272727272727272,,0,0,
109,2,9,0.39939393939393936,600.0,4.0,0.1818181818181818,560.0,0,0,
110,2,10,0.42016666666666663,600.0,5.0,0.25,,0,0,
111,2,13,0.3645454545454545,600.0,3.0,0.1363636363636363,432.0,0,0,
112,2,1,0.3636111111111111,600.0,4.0,0.1666666666666666,369.0,0,0,
113,2,12,0.2594166666666667,600.0,1.0,0.05,406.0,0,0,
114,2,16,0.2629166666666667,600.0,2.0,0.1,437.0,0,0,
115,2,18,0.2902272727272727,600.0,2.0,0.0909090909090909,244.0,0,0,
116,2,15,0.29429824561403506,600.0,0.0,0.0,530.0,0,0,
117,2,14,0.32753968253968246,600.0,2.0,0.0952380952380952,293.0,0,0,
118,2,20,0.20666666666666667,600.0,2.0,0.1,331.0,0,0,
119,2,19,0.3784848484848485,600.0,5.0,0.2272727272727272,,0,0,
120,2,21,0.4561363636363636,600.0,5.0,0.2272727272727272,,0,0,
121,2,17,0.30342592592592593,600.0,1.0,0.0555555555555555,416.0,0,0,
122,2,23,0.35833333333333334,600.0,3.0,0.1363636363636363,357.0,0,0,
123,2,22,0.16277777777777777,600.0,0.0,0.0,263.0,0,0,
124,2,25,0.2428947368421052,600.0,2.0,0.1052631578947368,,0,0,
125,2,24,0.33849206349206346,600.0,3.0,0.1428571428571428,333.0,0,0,
126,2,26,0.31214285714285706,600.0,2.0,0.0952380952380952,451.0,0,0,
127,2,28,0.33386363636363636,600.0,2.0,0.0909090909090909,275.0,0,0,
128,2,27,0.23824074074074073,600.0,0.0,0.0,452.0,0,0,
129,2,30,0.2426851851851852,600.0,1.0,0.0555555555555555,560.0,0,0,
130,2,31,0.38533333333333336,600.0,3.0,0.15,,0,0,
131,2,34,0.3946969696969697,600.0,4.0,0.1818181818181818,444.0,0,0,
132,2,29,0.29883333333333334,600.0,3.0,0.15,,0,0,
133,2,35,0.3643939393939394,600.0,5.0,0.2272727272727272,,0,0,
134,2,32,0.3283333333333333,600.0,1.0,0.05,427.0,0,0,
135,2,36,0.23462962962962963,600.0,1.0,0.0555555555555555,313.0,0,0,
136,2,38,0.3519298245614035,600.0,1.0,0.0526315789473684,592.0,0,0,
137,2,33,0.29460784313725485,600.0,1.0,0.0588235294117647,498.0,0,0,
138,2,37,0.42826666666666663,600.0,7.0,0.28,561.0,0,0,
139,2,41,0.33101449275362316,600.0,3.0,0.1304347826086956,264.0,0,0,
140,2,43,0.40166666666666667,600.0,4.0,0.2,,0,0,
141,2,45,0.35880952380952374,600.0,3.0,0.1428571428571428,403.0,0,0,
142,2,40,0.4275,600.0,4.0,0.2,,0,0,
143,2,46,0.3827272727272727,600.0,1.0,0.0454545454545454,582.0,0,0,
144,2,39,0.1952380952380952,600.0,0.0,0.0,258.0,0,0,
145,2,51,0.22375,600.0,0.0,0.0,213.0,0,0,
146,2,47,0.38637681159420284,600.0,4.0,0.1739130434782608,366.0,0,0,
147,2,52,0.2746491228070175,600.0,1.0,0.0526315789473684,347.0,0,0,
148,2,49,0.29,600.0,1.0,0.0555555555555555,369.0,0,0,
