priority_range_width,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
0,24.0,24.0,100,18.32,2.210534923149744,0.9159999999999999,0.11052674615748719,0.084,0.11052674615748723,0.0,0.0,0.010499999999999999,0.025912634880780584,0.6,0.7247430753394787,4.73,0.48938221207451915,0.22,0.46231739501923746,0.05,0.2190429135575903,18.3,2.2495790852081785,16.94,3.2839370311019094,1.7,2.249579085208177,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,25.0,25.0,100,18.15,2.3371181425253647,0.9075,0.11685590712626823,0.0925,0.11685590712626823,0.0,0.0,0.008499999999999999,0.023629078131263036,0.65,0.7703468981143131,4.69,0.5064233865696236,0.28,0.49400445751066263,0.03,0.17144660799776532,18.17,2.32706951448652,16.84,3.283629428273268,1.83,2.32706951448652,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,26.0,26.0,100,18.04,2.4532806318450118,0.902,0.12266403159225053,0.098,0.12266403159225057,0.0,0.0,0.0055000000000000005,0.01866098398349678,0.69,0.8001893715259097,4.67,0.5135536717202729,0.32,0.5101000100000198,0.01,0.1,18.08,2.4107503337585947,16.63,3.3018360365289503,1.92,2.4107503337585943,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,27.0,27.0,100,17.88,2.6064411279626767,0.894,0.13032205639813388,0.106,0.13032205639813388,0.0,0.0,0.008000000000000002,0.022156468376279895,0.74,0.8362977576162329,4.65,0.519809599951771,0.33,0.5135536717202728,0.02,0.14070529413628968,17.9,2.6034165586355513,16.55,3.2516507074457315,2.1,2.6034165586355513,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,28.0,28.0,100,17.77,2.7037385265964646,0.8885,0.13518692632982326,0.1115,0.13518692632982324,0.0,0.0,0.0055000000000000005,0.017254775360093007,0.77,0.8391313449880266,4.62,0.5646130345536478,0.36,0.5416025603090641,0.02,0.14070529413628968,17.8,2.7005424071710653,16.52,3.1860808387596053,2.2,2.7005424071710653,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,29.0,29.0,100,17.66,2.7896634603876906,0.883,0.1394831730193845,0.11699999999999999,0.1394831730193845,0.0,0.0,0.0055000000000000005,0.017254775360093004,0.8,0.8287754140107482,4.59,0.6046119049072353,0.39,0.6012613005301036,0.02,0.14070529413628968,17.69,2.765936376781657,16.42,3.219824952893049,2.31,2.765936376781657,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,30.0,30.0,100,17.5,2.855085839605378,0.875,0.14275429198026895,0.125,0.14275429198026893,0.0,0.0,0.008,0.020985805688703982,0.83,0.8652085636341439,4.57,0.6072790781740126,0.41,0.5876678784428628,0.02,0.1407052941362897,17.53,2.8407389848062388,16.33,3.2037068176937433,2.47,2.840738984806238,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,31.0,31.0,100,17.4,2.8989723013579147,0.87,0.14494861506789572,0.13,0.1449486150678957,0.0,0.0,0.005,0.01946247360403807,0.88,0.8793937305515277,4.55,0.6415731927193977,0.45,0.6415731927193978,0.0,0.0,17.45,2.85110292321899,16.18,3.2795047667523693,2.55,2.8511029232189924,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,32.0,32.0,100,17.32,2.929749877282076,0.866,0.14648749386410384,0.134,0.14648749386410387,0.0,0.0,0.003999999999999999,0.013632996217214532,0.89,0.8749603165604459,4.54,0.6422812876966388,0.44,0.6083592771553746,0.02,0.1407052941362897,17.35,2.924556428423001,15.98,3.449432686484237,2.65,2.9245564284230015,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,33.0,33.0,100,17.19,2.993916390538545,0.8595,0.14969581952692726,0.1405,0.14969581952692732,0.0,0.0,0.006499999999999999,0.01833333333333333,0.92,0.8608194357762265,4.51,0.6589707309451797,0.49,0.6589707309451794,0.0,0.0,17.24,2.9511853465167106,15.86,3.4466203619186015,2.76,2.951185346516709,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
