RunId,n_points,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
137,20,27,0.2497083333333333,600.0,1.0,0.025,309.0,0,0,
138,30,27,0.344,600.0,11.0,0.1833333333333333,171.0,0,0,
139,40,27,0.4947083333333333,600.0,27.0,0.3375,162.0,0,0,
140,5,28,0.14650000000000002,600.0,0.0,0.0,134.0,0,0,
141,10,28,0.17333333333333334,600.0,0.0,0.0,209.0,0,0,
142,20,28,0.15708333333333332,600.0,0.0,0.0,182.0,0,0,
143,30,28,0.34302777777777776,600.0,10.0,0.1666666666666666,188.0,0,0,
144,40,28,0.4809375,600.0,25.0,0.3125,130.0,0,0,
145,5,29,0.07083333333333333,600.0,0.0,0.0,93.0,0,0,
146,10,29,0.11516666666666665,600.0,0.0,0.0,124.0,0,0,
147,20,29,0.27079166666666665,600.0,3.0,0.075,356.0,0,0,
148,30,29,0.4300833333333334,600.0,17.0,0.2833333333333333,240.0,0,0,
149,40,29,0.5091041666666667,600.0,32.0,0.4,178.0,0,0,
150,5,30,0.08216666666666668,600.0,0.0,0.0,93.0,0,0,
151,10,30,0.14533333333333334,600.0,0.0,0.0,179.0,0,0,
152,20,30,0.2502916666666667,600.0,1.0,0.025,344.0,0,0,
153,30,30,0.3535277777777777,600.0,7.0,0.1166666666666666,216.0,0,0,
154,40,30,0.506625,600.0,29.0,0.3625,205.0,0,0,
155,5,31,0.1515,600.0,0.0,0.0,142.0,0,0,
156,10,31,0.139,600.0,0.0,0.0,174.0,0,0,
157,20,31,0.29012499999999997,600.0,1.0,0.025,445.0,0,0,
158,30,31,0.4046944444444444,600.0,15.0,0.25,189.0,0,0,
159,40,31,0.519,600.0,28.0,0.35,140.0,0,0,
160,5,32,0.12866666666666668,600.0,0.0,0.0,125.0,0,0,
161,10,32,0.13916666666666666,600.0,0.0,0.0,130.0,0,0,
162,20,32,0.26037499999999997,600.0,2.0,0.05,382.0,0,0,
163,30,32,0.39094444444444443,600.0,14.0,0.2333333333333333,223.0,0,0,
164,40,32,0.5032708333333333,600.0,27.0,0.3375,182.0,0,0,
