RunId,radius_profile,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,mean_excess_service_units,final_excess_service_units,J_delta_dynamic,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
52,rd10_rp10_nominal,51,0.2615462962962963,1800.0,1.0,0.05,0.002777777777777778,0.0,0.23277777777777775,482.0,4,3,124.0
53,rd10_rp10_nominal,52,0.2787777777777778,1800.0,2.0,0.1,0.0033333333333333335,0.0,0.2803333333333333,317.0,4,2,45.5
54,rd10_rp10_nominal,53,0.2501851851851852,1800.0,1.0,0.05,0.3327777777777778,0.0,0.23186111111111107,448.0,4,4,134.5
55,rd10_rp10_nominal,54,0.23600925925925925,1800.0,0.0,0.0,0.005555555555555556,0.0,0.20505555555555555,810.0,4,4,114.75
56,rd10_rp10_nominal,55,0.2493425925925926,1800.0,2.0,0.1,0.12,0.0,0.24034722222222218,498.0,4,4,128.75
57,rd10_rp10_nominal,56,0.23336111111111113,1800.0,1.0,0.05,0.15777777777777777,0.0,0.18395833333333333,647.0,4,4,71.0
58,rd10_rp10_nominal,57,0.2183148148148148,1800.0,2.0,0.1,0.11666666666666667,0.0,0.21713888888888888,166.0,4,4,125.5
59,rd10_rp10_nominal,58,0.17350000000000002,1800.0,1.0,0.05,0.0022222222222222222,0.0,0.17620833333333333,170.0,4,4,103.25
60,rd10_rp10_nominal,59,0.2048796296296296,1800.0,2.0,0.1,0.3422222222222222,0.0,0.20919444444444443,171.0,4,4,141.0
61,rd10_rp10_nominal,60,0.2540648148148148,1800.0,0.0,0.0,0.0033333333333333335,0.0,0.2254722222222222,466.0,4,3,122.66666666666667
62,rd10_rp10_nominal,61,0.2910648148148148,1800.0,1.0,0.05,0.0038888888888888888,0.0,0.2518888888888889,1200.0,4,2,33.5
63,rd10_rp10_nominal,62,0.21843518518518518,1800.0,1.0,0.05,0.17333333333333334,0.0,0.20919444444444443,298.0,4,3,83.33333333333333
64,rd10_rp10_nominal,63,0.17519444444444446,1800.0,0.0,0.0,0.007222222222222222,0.0,0.174875,243.0,4,4,99.0
65,rd10_rp10_nominal,64,0.23723148148148146,1800.0,2.0,0.1,0.295,0.0,0.2073888888888889,338.0,4,3,37.666666666666664
66,rd10_rp10_nominal,65,0.24010185185185184,1800.0,2.0,0.1,0.006111111111111111,0.0,0.19644444444444442,458.0,4,4,115.5
67,rd10_rp10_nominal,66,0.26370370370370366,1800.0,1.0,0.05,0.3377777777777778,0.0,0.2671805555555556,436.0,4,3,165.33333333333334
68,rd10_rp10_nominal,67,0.24209259259259258,1800.0,2.0,0.1,0.005555555555555556,0.0,0.23347222222222225,236.0,4,4,169.75
