RunId,seed,radius_profile,event_index,event_step,event_time_s,event_types,next_event_step,coverage_threshold,threshold_reached,time_to_90_percent_nominal_service_after_event_s
43,42,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
43,42,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,75.0
44,43,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,98.0
44,43,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
44,43,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
44,43,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,23.0
45,44,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,128.0
45,44,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
45,44,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
45,44,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,208.0
46,45,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,False,
46,45,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
46,45,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,71.0
46,45,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,False,
47,46,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,68.0
47,46,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
47,46,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,7.0
47,46,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,178.0
48,47,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,139.0
48,47,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,241.0
48,47,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
48,47,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,77.0
49,48,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,94.0
49,48,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,248.0
49,48,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
49,48,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,56.0
50,49,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,257.0
50,49,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,253.0
50,49,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
50,49,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,220.0
51,50,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,122.0
51,50,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
51,50,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
51,50,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,92.0
52,51,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,259.0
52,51,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
52,51,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
52,51,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,113.0
53,52,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,False,
53,52,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
53,52,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
53,52,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,91.0
