RunId,point_layout,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
233,central,38,0.036000000000000004,600.0,0.0,0.0,40.0,0,0,
234,random,39,0.26058333333333333,600.0,0.0,0.0,363.0,0,0,
235,clusters,39,0.06325,600.0,0.0,0.0,99.0,0,0,
236,dispersed,39,0.18108333333333335,600.0,1.0,0.05,201.0,0,0,
237,circle,39,0.16158333333333333,600.0,1.0,0.05,192.0,0,0,
238,edges,39,0.3590833333333333,600.0,3.0,0.15,,0,0,
239,central,39,0.04325,600.0,0.0,0.0,31.0,0,0,
240,random,40,0.26166666666666666,600.0,2.0,0.1,357.0,0,0,
241,clusters,40,0.22741666666666666,600.0,0.0,0.0,276.0,0,0,
242,dispersed,40,0.19283333333333333,600.0,1.0,0.05,287.0,0,0,
243,circle,40,0.16566666666666668,600.0,1.0,0.05,114.0,0,0,
244,edges,40,0.28875,600.0,1.0,0.05,569.0,0,0,
245,central,40,0.07416666666666667,600.0,0.0,0.0,60.0,0,0,
246,random,41,0.32408333333333333,600.0,1.0,0.05,398.0,0,0,
247,clusters,41,0.21383333333333335,600.0,0.0,0.0,345.0,0,0,
248,dispersed,41,0.3215,600.0,2.0,0.1,422.0,0,0,
249,circle,41,0.15691666666666668,600.0,0.0,0.0,239.0,0,0,
250,edges,41,0.19341666666666665,600.0,0.0,0.0,228.0,0,0,
251,central,41,0.20208333333333334,600.0,1.0,0.05,256.0,0,0,
252,random,42,0.22791666666666666,600.0,0.0,0.0,346.0,0,0,
253,clusters,42,0.07825,600.0,0.0,0.0,56.0,0,0,
254,dispersed,42,0.24691666666666667,600.0,2.0,0.1,331.0,0,0,
255,circle,42,0.20725,600.0,2.0,0.1,444.0,0,0,
256,edges,42,0.36933333333333335,600.0,3.0,0.15,,0,0,
257,central,42,0.04008333333333333,600.0,0.0,0.0,55.0,0,0,
258,random,43,0.3403333333333333,600.0,1.0,0.05,417.0,0,0,
259,clusters,43,0.17016666666666666,600.0,0.0,0.0,266.0,0,0,
260,dispersed,43,0.24300000000000002,600.0,1.0,0.05,235.0,0,0,
261,circle,43,0.19558333333333333,600.0,2.0,0.1,303.0,0,0,
262,edges,43,0.15725,600.0,0.0,0.0,102.0,0,0,
263,central,43,0.0675,600.0,0.0,0.0,51.0,0,0,
264,random,44,0.2545,600.0,1.0,0.05,356.0,0,0,
265,clusters,44,0.2821666666666667,600.0,0.0,0.0,308.0,0,0,
266,dispersed,44,0.17900000000000002,600.0,0.0,0.0,195.0,0,0,
267,circle,44,0.10974999999999999,600.0,0.0,0.0,84.0,0,0,
268,edges,44,0.23525000000000001,600.0,0.0,0.0,266.0,0,0,
269,central,44,0.10116666666666667,600.0,0.0,0.0,110.0,0,0,
270,random,45,0.49583333333333335,600.0,0.0,0.0,501.0,0,0,
271,clusters,45,0.19974999999999998,600.0,1.0,0.05,338.0,0,0,
272,dispersed,45,0.26391666666666663,600.0,2.0,0.1,362.0,0,0,
273,circle,45,0.17941666666666667,600.0,1.0,0.05,230.0,0,0,
274,edges,45,0.21241666666666667,600.0,1.0,0.05,204.0,0,0,
275,central,45,0.14816666666666667,600.0,0.0,0.0,162.0,0,0,
276,random,46,0.22325000000000003,600.0,2.0,0.1,208.0,0,0,
277,clusters,46,0.12625,600.0,0.0,0.0,105.0,0,0,
278,dispersed,46,0.20533333333333334,600.0,1.0,0.05,275.0,0,0,
279,circle,46,0.152,600.0,0.0,0.0,234.0,0,0,
280,edges,46,0.3764166666666667,600.0,1.0,0.05,474.0,0,0,
281,central,46,0.03966666666666667,600.0,0.0,0.0,42.0,0,0,
282,random,47,0.30074999999999996,600.0,3.0,0.15,,0,0,
283,clusters,47,0.16133333333333333,600.0,0.0,0.0,232.0,0,0,
284,dispersed,47,0.2609166666666667,600.0,2.0,0.1,470.0,0,0,
285,circle,47,0.16349999999999998,600.0,1.0,0.05,257.0,0,0,
286,edges,47,0.3199166666666666,600.0,3.0,0.15,,0,0,
287,central,47,0.05983333333333333,600.0,0.0,0.0,57.0,0,0,
288,random,48,0.32383333333333336,600.0,3.0,0.15,,0,0,
289,clusters,48,0.17200000000000001,600.0,0.0,0.0,223.0,0,0,
290,dispersed,48,0.2236666666666667,600.0,1.0,0.05,172.0,0,0,
291,circle,48,0.14758333333333332,600.0,1.0,0.05,110.0,0,0,
292,edges,48,0.30824999999999997,600.0,2.0,0.1,471.0,0,0,
293,central,48,0.017249999999999998,600.0,0.0,0.0,26.0,0,0,
294,random,49,0.18558333333333335,600.0,0.0,0.0,214.0,0,0,
295,clusters,49,0.16683333333333333,600.0,0.0,0.0,229.0,0,0,
296,dispersed,49,0.19508333333333333,600.0,1.0,0.05,157.0,0,0,
297,circle,49,0.11191666666666668,600.0,0.0,0.0,136.0,0,0,
298,edges,49,0.20566666666666666,600.0,0.0,0.0,313.0,0,0,
299,central,49,0.043000000000000003,600.0,0.0,0.0,54.0,0,0,
300,random,50,0.28608333333333336,600.0,0.0,0.0,447.0,0,0,
301,clusters,50,0.21775,600.0,0.0,0.0,311.0,0,0,
302,dispersed,50,0.30324999999999996,600.0,2.0,0.1,520.0,0,0,
303,circle,50,0.17600000000000002,600.0,0.0,0.0,223.0,0,0,
304,edges,50,0.38308333333333333,600.0,4.0,0.2,,0,0,
305,central,50,0.07158333333333333,600.0,0.0,0.0,52.0,0,0,
306,random,51,0.2734166666666667,600.0,2.0,0.1,442.0,0,0,
307,clusters,51,0.19066666666666668,600.0,0.0,0.0,189.0,0,0,
308,dispersed,51,0.24508333333333335,600.0,1.0,0.05,398.0,0,0,
309,circle,51,0.14791666666666667,600.0,1.0,0.05,112.0,0,0,
310,edges,51,0.3348333333333333,600.0,2.0,0.1,577.0,0,0,
311,central,51,0.07275,600.0,0.0,0.0,79.0,0,0,
312,random,52,0.3765,600.0,3.0,0.15,,0,0,
313,clusters,52,0.19441666666666668,600.0,0.0,0.0,261.0,0,0,
314,dispersed,52,0.28933333333333333,600.0,1.0,0.05,377.0,0,0,
315,circle,52,0.082,600.0,0.0,0.0,101.0,0,0,
316,edges,52,0.21733333333333335,600.0,0.0,0.0,276.0,0,0,
317,central,52,0.06141666666666667,600.0,0.0,0.0,48.0,0,0,
318,random,53,0.4365833333333333,600.0,2.0,0.1,522.0,0,0,
319,clusters,53,0.13541666666666666,600.0,0.0,0.0,138.0,0,0,
320,dispersed,53,0.23916666666666667,600.0,1.0,0.05,310.0,0,0,
321,circle,53,0.14325000000000002,600.0,1.0,0.05,105.0,0,0,
322,edges,53,0.27808333333333335,600.0,2.0,0.1,324.0,0,0,
323,central,53,0.06475,600.0,0.0,0.0,50.0,0,0,
324,random,54,0.2385,600.0,2.0,0.1,274.0,0,0,
325,clusters,54,0.3286666666666667,600.0,2.0,0.1,388.0,0,0,
326,dispersed,54,0.21558333333333332,600.0,2.0,0.1,426.0,0,0,
327,circle,54,0.17816666666666667,600.0,1.0,0.05,286.0,0,0,
328,edges,54,0.26383333333333336,600.0,1.0,0.05,344.0,0,0,
329,central,54,0.05383333333333333,600.0,0.0,0.0,61.0,0,0,
330,random,55,0.3185,600.0,3.0,0.15,,0,0,
