Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
41.0,41.0,100,7.71,1.7939010028652107,0.7709999999999999,0.17939010028652108,0.229,0.17939010028652103,0.0,0.0,0.006,0.023868325657594197,1.23,0.9412542674323429,3.94,0.8969082698049141,1.03,0.904031375159473,0.03,0.1714466079977653,17.72,1.7983157103076741,16.55,2.3500483554019205,2.28,1.7983157103076741,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
42.0,42.0,100,7.66,1.810296030259062,0.7659999999999999,0.18102960302590618,0.234,0.18102960302590615,0.0,0.0,0.005000000000000001,0.026111648393354683,1.26,0.9387289924211999,3.92,0.917616587698916,0.99,0.9044781965756874,0.09,0.28762349126466136,17.61,1.8796894220142655,16.46,2.438827338677091,2.39,1.8796894220142653,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
43.0,43.0,100,7.59,1.8040078836979747,0.759,0.18040078836979745,0.24100000000000002,0.18040078836979748,0.0,0.0,0.007000000000000001,0.029318866956210287,1.31,0.9607972278953105,3.9,0.904534033733291,1.0,0.8761716542303613,0.1,0.30151134457776363,17.54,1.8663419631011688,16.35,2.451035650000987,2.46,1.8663419631011686,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
44.0,44.0,100,7.48,1.8283955543126604,0.748,0.18283955543126612,0.252,0.1828395554312661,0.0,0.0,0.011000000000000003,0.037321967966993566,1.37,0.9811866655877834,3.85,0.9031370691409835,1.13,0.9062632792478857,0.02,0.14070529413628968,17.52,1.8005610797804674,16.24,2.4,2.48,1.800561079780467,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
45.0,45.0,100,7.43,1.816061895443216,0.743,0.18160618954432164,0.257,0.18160618954432167,0.0,0.0,0.005000000000000001,0.021904291355759036,1.4,0.9847319278346618,3.83,0.8995509541943243,1.16,0.9069874655287484,0.01,0.1,17.48,1.7779797865026814,16.22,2.363783989173873,2.52,1.7779797865026814,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
46.0,46.0,100,7.35,1.8443196988361727,0.735,0.1844319698836173,0.265,0.1844319698836173,0.0,0.0,0.008000000000000002,0.030748244591432307,1.44,0.9981801622771493,3.79,0.9133687230480494,1.17,0.9107106782035331,0.04,0.19694638556693242,17.35,1.8552410064245537,16.24,2.265775225775357,2.65,1.855241006424554,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
47.0,47.0,100,7.29,1.8818377005770532,0.7290000000000001,0.18818377005770534,0.271,0.18818377005770534,0.0,0.0,0.005999999999999998,0.023868325657594197,1.45,0.9987365756167876,3.74,0.9387289924211998,1.2,0.9534625892455922,0.06,0.23868325657594205,17.27,1.9167259542872543,16.15,2.2934910093787173,2.73,1.9167259542872537,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
48.0,48.0,100,7.21,1.881837700577053,0.721,0.18818377005770537,0.279,0.18818377005770534,0.0,0.0,0.008,0.027265992434429065,1.5,0.9795896894087646,3.71,0.9565827225339715,1.21,0.9670845491747477,0.08,0.30748244591432294,17.19,1.9106030567347156,15.99,2.371953122673721,2.81,1.9106030567347156,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
49.0,49.0,100,7.17,1.8805490279343016,0.7170000000000001,0.18805490279343015,0.28300000000000003,0.18805490279343015,0.0,0.0,0.003999999999999999,0.024287836253956207,1.51,0.9897964284119083,3.68,0.9415225151129667,1.29,0.9459643147859674,0.03,0.1714466079977653,17.19,1.8893374393146287,15.92,2.355650846176256,2.81,1.8893374393146292,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
50.0,50.0,100,7.05,1.860677621760743,0.705,0.18606776217607424,0.295,0.18606776217607424,0.0,0.0,0.011999999999999997,0.03265986323710904,1.58,0.9865765724632496,3.63,0.9391055275735479,1.31,0.9607972278953105,0.06,0.2777979790634143,17.05,1.8768929838238708,15.91,2.3787569965183177,2.95,1.8768929838238708,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
