RunId,initial_fleet_load,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
87,0.25,25.0,21,0.175,600.0,0.0,0.0,153.0,0,0,
88,0.25,10.0,22,0.10300000000000001,600.0,0.0,0.0,136.0,0,0,
89,0.25,15.0,22,0.095,600.0,0.0,0.0,107.0,0,0,
90,0.25,20.0,22,0.08633333333333333,600.0,0.0,0.0,115.0,0,0,
91,0.25,25.0,22,0.09466666666666668,600.0,0.0,0.0,140.0,0,0,
92,0.25,10.0,23,0.10666666666666667,600.0,0.0,0.0,92.0,0,0,
93,0.25,15.0,23,0.11900000000000001,600.0,0.0,0.0,134.0,0,0,
94,0.25,20.0,23,0.10366666666666667,600.0,0.0,0.0,91.0,0,0,
95,0.25,25.0,23,0.10066666666666667,600.0,0.0,0.0,89.0,0,0,
96,0.25,10.0,24,0.129,600.0,0.0,0.0,107.0,0,0,
97,0.25,15.0,24,0.13366666666666668,600.0,0.0,0.0,104.0,0,0,
98,0.25,20.0,24,0.134,600.0,0.0,0.0,112.0,0,0,
99,0.25,25.0,24,0.15666666666666668,600.0,0.0,0.0,111.0,0,0,
100,0.25,10.0,25,0.07233333333333333,600.0,0.0,0.0,119.0,0,0,
101,0.25,15.0,25,0.07300000000000001,600.0,0.0,0.0,118.0,0,0,
102,0.25,20.0,25,0.074,600.0,0.0,0.0,123.0,0,0,
103,0.25,25.0,25,0.074,600.0,0.0,0.0,124.0,0,0,
104,0.25,10.0,26,0.17900000000000002,600.0,0.0,0.0,270.0,0,0,
105,0.25,15.0,26,0.22033333333333335,600.0,0.0,0.0,396.0,0,0,
106,0.25,20.0,26,0.309,600.0,1.0,0.2,,0,0,
107,0.25,25.0,26,0.29300000000000004,600.0,1.0,0.2,,0,0,
108,0.25,10.0,27,0.11600000000000002,600.0,0.0,0.0,171.0,0,0,
109,0.25,15.0,27,0.11966666666666666,600.0,0.0,0.0,163.0,0,0,
110,0.25,20.0,27,0.10766666666666667,600.0,0.0,0.0,132.0,0,0,
111,0.25,25.0,27,0.09766666666666667,600.0,0.0,0.0,115.0,0,0,
112,0.25,10.0,28,0.125,600.0,0.0,0.0,104.0,0,0,
113,0.25,15.0,28,0.12566666666666668,600.0,0.0,0.0,106.0,0,0,
114,0.25,20.0,28,0.134,600.0,0.0,0.0,112.0,0,0,
115,0.25,25.0,28,0.14033333333333334,600.0,0.0,0.0,116.0,0,0,
116,0.25,10.0,29,0.07166666666666667,600.0,0.0,0.0,76.0,0,0,
117,0.25,15.0,29,0.10733333333333334,600.0,0.0,0.0,212.0,0,0,
118,0.25,20.0,29,0.059333333333333335,600.0,0.0,0.0,68.0,0,0,
119,0.25,25.0,29,0.054666666666666676,600.0,0.0,0.0,66.0,0,0,
120,0.25,10.0,30,0.094,600.0,0.0,0.0,113.0,0,0,
121,0.25,15.0,30,0.08766666666666667,600.0,0.0,0.0,110.0,0,0,
122,0.25,20.0,30,0.08266666666666667,600.0,0.0,0.0,93.0,0,0,
123,0.25,25.0,30,0.157,600.0,0.0,0.0,274.0,0,0,
124,0.25,10.0,31,0.14366666666666666,600.0,0.0,0.0,144.0,0,0,
125,0.25,15.0,31,0.15033333333333335,600.0,0.0,0.0,156.0,0,0,
126,0.25,20.0,31,0.16266666666666668,600.0,0.0,0.0,153.0,0,0,
127,0.25,25.0,31,0.2816666666666667,600.0,0.0,0.0,300.0,0,0,
128,0.25,10.0,32,0.12966666666666665,600.0,0.0,0.0,126.0,0,0,
129,0.25,15.0,32,0.12666666666666668,600.0,0.0,0.0,125.0,0,0,
130,0.25,20.0,32,0.13366666666666668,600.0,0.0,0.0,128.0,0,0,
131,0.25,25.0,32,0.13233333333333333,600.0,0.0,0.0,128.0,0,0,
132,0.25,10.0,33,0.18733333333333335,600.0,0.0,0.0,279.0,0,0,
133,0.25,15.0,33,0.12100000000000001,600.0,0.0,0.0,112.0,0,0,
134,0.25,20.0,33,0.14233333333333334,600.0,0.0,0.0,158.0,0,0,
135,0.25,25.0,33,0.15,600.0,0.0,0.0,176.0,0,0,
136,0.25,10.0,34,0.11366666666666667,600.0,0.0,0.0,161.0,0,0,
