RunId,cohere,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
85,0.15,17,0.46605555555555556,600.0,10.0,0.3333333333333333,264.0,0,0,
86,0.25,17,0.4799444444444444,600.0,10.0,0.3333333333333333,234.0,0,0,
87,0.35,17,0.4775,600.0,11.0,0.3666666666666666,228.0,0,0,
88,0.45,17,0.4848888888888888,600.0,11.0,0.3666666666666666,253.0,0,0,
89,0.6,17,0.49377777777777776,600.0,11.0,0.3666666666666666,270.0,0,0,
90,0.15,18,0.45288888888888884,600.0,10.0,0.3333333333333333,213.0,0,0,
91,0.25,18,0.47094444444444444,600.0,11.0,0.3666666666666666,267.0,0,0,
92,0.35,18,0.4525555555555555,600.0,10.0,0.3333333333333333,330.0,0,0,
93,0.45,18,0.46422222222222215,600.0,11.0,0.3666666666666666,204.0,0,0,
94,0.6,18,0.43649999999999994,600.0,10.0,0.3333333333333333,212.0,0,0,
95,0.15,19,0.3658888888888888,600.0,8.0,0.2666666666666666,76.0,0,0,
96,0.25,19,0.36416666666666664,600.0,8.0,0.2666666666666666,76.0,0,0,
97,0.35,19,0.4002777777777778,600.0,9.0,0.3,76.0,0,0,
98,0.45,19,0.40155555555555555,600.0,9.0,0.3,76.0,0,0,
99,0.6,19,0.3998333333333333,600.0,9.0,0.3,76.0,0,0,
100,0.15,20,0.4445555555555555,600.0,10.0,0.3333333333333333,248.0,0,0,
101,0.25,20,0.4177222222222222,600.0,10.0,0.3333333333333333,177.0,0,0,
102,0.35,20,0.4368888888888889,600.0,10.0,0.3333333333333333,197.0,0,0,
103,0.45,20,0.41183333333333333,600.0,10.0,0.3333333333333333,110.0,0,0,
104,0.6,20,0.41188888888888886,600.0,10.0,0.3333333333333333,110.0,0,0,
105,0.15,21,0.5758888888888888,600.0,11.0,0.3666666666666666,441.0,0,0,
106,0.25,21,0.5819444444444445,600.0,10.0,0.3333333333333333,494.0,0,0,
107,0.35,21,0.5935,600.0,11.0,0.3666666666666666,491.0,0,0,
108,0.45,21,0.5557222222222222,600.0,11.0,0.3666666666666666,371.0,0,0,
109,0.6,21,0.5711666666666666,600.0,10.0,0.3333333333333333,418.0,0,0,
110,0.15,22,0.3693333333333333,600.0,8.0,0.2666666666666666,153.0,0,0,
111,0.25,22,0.3654444444444444,600.0,8.0,0.2666666666666666,167.0,0,0,
112,0.35,22,0.3471111111111111,600.0,8.0,0.2666666666666666,76.0,0,0,
113,0.45,22,0.3673888888888888,600.0,8.0,0.2666666666666666,74.0,0,0,
114,0.6,22,0.34077777777777774,600.0,8.0,0.2666666666666666,74.0,0,0,
115,0.15,23,0.465,600.0,10.0,0.3333333333333333,315.0,0,0,
116,0.25,23,0.4345,600.0,8.0,0.2666666666666666,252.0,0,0,
117,0.35,23,0.4663333333333334,600.0,10.0,0.3333333333333333,274.0,0,0,
118,0.45,23,0.4601666666666666,600.0,9.0,0.3,291.0,0,0,
119,0.6,23,0.4343333333333333,600.0,9.0,0.3,232.0,0,0,
120,0.15,24,0.3581666666666667,600.0,6.0,0.2,131.0,0,0,
121,0.25,24,0.3641111111111111,600.0,6.0,0.2,130.0,0,0,
122,0.35,24,0.3625555555555556,600.0,6.0,0.2,130.0,0,0,
123,0.45,24,0.36977777777777776,600.0,6.0,0.2,130.0,0,0,
124,0.6,24,0.3772222222222222,600.0,7.0,0.2333333333333333,130.0,0,0,
125,0.15,25,0.45305555555555554,600.0,10.0,0.3333333333333333,261.0,0,0,
126,0.25,25,0.4622777777777777,600.0,10.0,0.3333333333333333,310.0,0,0,
127,0.35,25,0.45338888888888884,600.0,10.0,0.3333333333333333,304.0,0,0,
128,0.45,25,0.453,600.0,10.0,0.3333333333333333,250.0,0,0,
129,0.6,25,0.4551666666666666,600.0,10.0,0.3333333333333333,254.0,0,0,
130,0.15,26,0.47050000000000003,600.0,10.0,0.3333333333333333,306.0,0,0,
