cohere,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
0.15,39.0,39.0,100,25.79,4.15433326160587,0.8596666666666667,0.1384777753868622,0.21050000000000002,0.20771666308029335,0.33333333333333326,0.0,0.006,0.016670033330001006,0.94,0.8740940475946531,4.59,0.5702205846437989,0.37,0.562372319964831,0.04,0.1969463855669324,15.81,4.113773366768193,10.08,4.974033584628285,4.19,4.113773366768193,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,40.0,40.0,100,25.59,4.190164047799889,0.853,0.139672134926663,0.2205,0.20950820238999443,0.33333333333333326,0.0,0.006666666666666665,0.01834939608543935,0.99,0.8703302519588453,4.57,0.5904116009919341,0.41,0.5876678784428628,0.02,0.1407052941362897,15.62,4.182165115165236,9.94,4.9702549575886295,4.38,4.182165115165235,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,41.0,41.0,100,25.43,4.212187703857137,0.8476666666666667,0.14040625679523788,0.2285,0.21060938519285677,0.33333333333333326,0.0,0.005333333333333336,0.01551220510743634,1.03,0.904031375159473,4.56,0.5915226030330456,0.41,0.5876678784428628,0.03,0.1714466079977653,15.45,4.198063526643846,9.7,4.941066829556287,4.55,4.198063526643847,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,42.0,42.0,100,25.18,4.25780329382287,0.8393333333333334,0.14192677646076235,0.24100000000000002,0.21289016469114355,0.33333333333333326,0.0,0.008333333333333333,0.0208543664869319,1.07,0.9017939472142864,4.53,0.5938234271450249,0.43,0.5730478499949532,0.04,0.19694638556693236,15.2,4.233106651053327,9.6,4.933906600598996,4.8,4.233106651053327,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,43.0,43.0,100,24.98,4.2993539566363275,0.8326666666666667,0.14331179855454426,0.251,0.21496769783181643,0.33333333333333326,0.0,0.006666666666666666,0.016412198797244364,1.11,0.9089343299499782,4.51,0.6112580172368814,0.43,0.5904116009919338,0.06,0.23868325657594205,15.0,4.268749491621898,9.5,4.860685407045247,5.0,4.268749491621898,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,44.0,44.0,100,24.75,4.395532626509223,0.825,0.1465177542169741,0.2625,0.2197766313254611,0.33333333333333326,0.0,0.007666666666666668,0.02264992449624825,1.13,0.89504810547317,4.48,0.6273239621880817,0.46,0.626357112455213,0.06,0.23868325657594205,14.76,4.367279623877009,9.33,4.863915785421943,5.24,4.367279623877009,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,45.0,45.0,100,24.51,4.425579914062968,0.8170000000000001,0.14751933046876559,0.27449999999999997,0.22127899570314838,0.33333333333333326,0.0,0.008000000000000004,0.019022108939528642,1.16,0.8844332774281065,4.42,0.6384957068585252,0.53,0.61059666133077,0.05,0.21904291355759034,14.56,4.349201714746691,9.23,4.756399198273136,5.44,4.349201714746691,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,46.0,46.0,100,24.19,4.428317965096905,0.8063333333333333,0.14761059883656352,0.2905,0.22141589825484523,0.33333333333333326,0.0,0.010666666666666666,0.02216153329082229,1.23,0.9084897001912214,4.41,0.6371495868001452,0.56,0.6247423711443224,0.03,0.1714466079977653,14.27,4.327163439753973,9.18,4.734101516836872,5.73,4.327163439753972,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,47.0,47.0,100,24.0,4.415308539043393,0.8,0.14717695130144645,0.3,0.2207654269521696,0.33333333333333326,0.0,0.006333333333333331,0.016880779552320785,1.28,0.922009224520563,4.37,0.645966506308746,0.59,0.6528105515091005,0.04,0.19694638556693236,14.07,4.344403110191133,9.15,4.62399320191035,5.93,4.3444031101911325,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,48.0,48.0,100,23.8,4.3854672763940705,0.7933333333333333,0.14618224254646905,0.31,0.21927336381970353,0.33333333333333326,0.0,0.006666666666666669,0.02010075630518424,1.31,0.9287223764534009,4.33,0.6365151334819269,0.65,0.6415731927193977,0.02,0.14070529413628968,13.93,4.283524933811622,9.13,4.509596949447328,6.07,4.283524933811622,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,49.0,49.0,100,23.61,4.396727433127066,0.787,0.14655758110423553,0.3195,0.2198363716563533,0.33333333333333326,0.0,0.006333333333333335,0.015494106623724394,1.36,0.9483638222717792,4.31,0.6620293258480535,0.65,0.6571287406727709,0.04,0.1969463855669324,13.74,4.289098231139459,9.0,4.422166387140533,6.26,4.289098231139459,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,50.0,50.0,100,23.35,4.372492066166258,0.7783333333333333,0.14574973553887527,0.3325,0.2186246033083129,0.33333333333333326,0.0,0.008666666666666668,0.0198874498661173,1.41,0.9544684913657971,4.28,0.6525784135708029,0.71,0.6558978733019495,0.01,0.09999999999999999,13.52,4.236636745000792,8.88,4.434210439550903,6.48,4.236636745000792,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,51.0,51.0,100,23.2,4.417595671307131,0.7733333333333333,0.1472531890435711,0.34,0.22087978356535665,0.33333333333333326,0.0,0.005000000000000002,0.011962342709421227,1.46,0.9890307468333924,4.28,0.6525784135708029,0.7,0.6590473688161074,0.02,0.1407052941362897,13.37,4.286825012391885,8.67,4.311260801316676,6.63,4.286825012391885,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,52.0,52.0,100,22.9,4.493541942824078,0.7633333333333333,0.1497847314274693,0.355,0.22467709714120385,0.33333333333333326,0.0,0.009999999999999998,0.024845199749997663,1.49,0.9691712590109808,4.25,0.657128740672771,0.74,0.6608840115842392,0.01,0.09999999999999999,13.1,4.326334674660725,8.57,4.3210899298461936,6.9,4.326334674660725,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,53.0,53.0,100,22.75,4.4887626244868315,0.7583333333333333,0.14962542081622773,0.3625,0.2244381312243415,0.33333333333333326,0.0,0.005000000000000001,0.013710981778281044,1.51,0.9691712590109807,4.25,0.657128740672771,0.74,0.6608840115842392,0.01,0.09999999999999999,12.95,4.326042818170719,8.49,4.3356520602879085,7.05,4.326042818170719,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,54.0,54.0,100,22.62,4.521061822182926,0.754,0.15070206073943088,0.369,0.22605309110914634,0.33333333333333326,0.0,0.004333333333333332,0.012222222222222221,1.54,0.978764424149038,4.22,0.6753973764841084,0.78,0.675397376484108,0.0,0.0,12.83,4.367129283845187,8.39,4.301503143428969,7.17,4.367129283845187,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,55.0,55.0,100,22.43,4.5377318233904145,0.7476666666666667,0.15125772744634725,0.3785,0.22688659116952073,0.33333333333333326,0.0,0.006333333333333332,0.015494106623724392,1.59,0.9754046039537345,4.18,0.6872577626503991,0.79,0.6711214796175431,0.03,0.17144660799776526,12.61,4.426492785924133,8.25,4.30966731004057,7.39,4.4264927859241325,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,56.0,56.0,100,22.29,4.4908324125462284,0.743,0.14969441375154086,0.38549999999999995,0.22454162062731134,0.33333333333333326,0.0,0.004666666666666675,0.01341724437763261,1.65,0.9885710532241613,4.18,0.6872577626503991,0.79,0.6860073327640606,0.03,0.1714466079977653,12.47,4.3634269730906405,8.06,4.23744729713062,7.53,4.3634269730906405,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,57.0,57.0,100,22.04,4.480981133545634,0.7346666666666667,0.14936603778485452,0.39799999999999996,0.2240490566772817,0.33333333333333326,0.0,0.00833333333333333,0.018577347634090427,1.7,0.9587449708822043,4.14,0.7109532653097147,0.83,0.6674994798166929,0.03,0.1714466079977653,12.23,4.385133286388674,7.96,4.133919801990953,7.77,4.385133286388675,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,58.0,58.0,100,21.9,4.436988695823857,0.73,0.14789962319412858,0.405,0.22184943479119282,0.33333333333333326,0.0,0.004666666666666664,0.012552918289216947,1.78,0.9700567514378219,4.13,0.7199186261535594,0.86,0.7109532653097148,0.01,0.09999999999999999,12.12,4.281225162133952,7.9,4.038951759198334,7.88,4.281225162133952,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,59.0,59.0,100,21.75,4.37018132901655,0.725,0.14567271096721834,0.4125,0.21850906645082746,0.33333333333333326,0.0,0.005,0.013710981778281039,1.79,0.9670845491747478,4.13,0.7199186261535594,0.87,0.7199186261535595,0.0,0.0,11.98,4.199518971972814,7.85,3.9603463780764723,8.02,4.1995189719728145,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,60.0,60.0,100,21.52,4.363484845854285,0.7173333333333334,0.14544949486180955,0.424,0.2181742422927143,0.33333333333333326,0.0,0.007666666666666671,0.02111111111111112,1.82,0.957479857108063,4.09,0.6976873775321415,0.91,0.6976873775321414,0.0,0.0,11.75,4.202872995242827,7.71,3.913961025494621,8.25,4.202872995242827,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,61.0,61.0,100,21.3,4.358898943540672,0.71,0.1452966314513558,0.435,0.2179449471770337,0.33333333333333326,0.0,0.007333333333333335,0.017459267973181796,1.87,0.9603766096293852,4.07,0.685418105828829,0.92,0.6916529754030112,0.01,0.09999999999999999,11.52,4.169344593990084,7.65,3.8306973809271896,8.48,4.169344593990085,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,62.0,62.0,100,21.18,4.402432752628272,0.706,0.14674775842094243,0.441,0.22012163763141357,0.33333333333333326,0.0,0.004000000000000001,0.01088662107903635,1.91,0.9959006887326575,4.05,0.701729465267237,0.95,0.701729465267237,0.0,0.0,11.41,4.216597795580813,7.53,3.7964763035257207,8.59,4.216597795580813,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
