RunId,seed,radius_profile,event_index,event_step,event_time_s,event_types,next_event_step,coverage_threshold,threshold_reached,time_to_90_percent_nominal_service_after_event_s
42,41,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,85.0
42,41,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
42,41,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,14.0
42,41,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,111.0
43,42,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
43,42,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
43,42,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,3.0
43,42,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,56.0
44,43,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,98.0
44,43,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
44,43,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,50.0
44,43,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
45,44,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,128.0
45,44,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,True,132.0
45,44,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
45,44,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,104.0
46,45,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
46,45,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
46,45,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,63.0
46,45,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
47,46,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,68.0
47,46,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
47,46,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,79.0
47,46,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,83.0
48,47,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,139.0
48,47,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
48,47,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
48,47,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,54.0
49,48,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,94.0
49,48,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
49,48,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
49,48,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,55.0
50,49,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
50,49,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
50,49,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
50,49,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,57.0
51,50,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,122.0
51,50,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
51,50,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,11.0
51,50,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,77.0
52,51,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
52,51,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
52,51,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,103.0
52,51,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
53,52,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
53,52,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
53,52,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,25.0
53,52,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,85.0
54,53,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,131.0
54,53,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
54,53,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,21.0
54,53,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,110.0
55,54,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
55,54,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
55,54,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
55,54,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,11.0
56,55,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
