RunId,match,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
98,0.1,25.0,9,0.41844444444444445,600.0,10.0,0.3333333333333333,114.0,0,0,
99,0.2,25.0,9,0.4428333333333333,600.0,10.0,0.3333333333333333,123.0,0,0,
100,0.0,10.0,10,0.5896666666666667,600.0,10.0,0.3333333333333333,427.0,0,0,
101,0.025,10.0,10,0.5584444444444444,600.0,11.0,0.3666666666666666,487.0,0,0,
102,0.05,10.0,10,0.5163333333333333,600.0,10.0,0.3333333333333333,232.0,0,0,
103,0.1,10.0,10,0.49694444444444436,600.0,11.0,0.3666666666666666,325.0,0,0,
104,0.2,10.0,10,0.5031111111111112,600.0,12.0,0.4,232.0,0,0,
105,0.0,25.0,10,0.5000555555555555,600.0,10.0,0.3333333333333333,269.0,0,0,
106,0.025,25.0,10,0.5402222222222222,600.0,11.0,0.3666666666666666,378.0,0,0,
107,0.05,25.0,10,0.48083333333333333,600.0,10.0,0.3333333333333333,322.0,0,0,
108,0.1,25.0,10,0.5436666666666666,600.0,10.0,0.3333333333333333,555.0,0,0,
109,0.2,25.0,10,0.4427222222222222,600.0,10.0,0.3333333333333333,133.0,0,0,
110,0.0,10.0,11,0.4216666666666667,600.0,10.0,0.3333333333333333,188.0,0,0,
111,0.025,10.0,11,0.38549999999999995,600.0,10.0,0.3333333333333333,116.0,0,0,
112,0.05,10.0,11,0.4091111111111111,600.0,11.0,0.3666666666666666,138.0,0,0,
113,0.1,10.0,11,0.3932777777777777,600.0,10.0,0.3333333333333333,108.0,0,0,
114,0.2,10.0,11,0.3887777777777778,600.0,10.0,0.3333333333333333,196.0,0,0,
115,0.0,25.0,11,0.38077777777777777,600.0,10.0,0.3333333333333333,116.0,0,0,
116,0.025,25.0,11,0.41888888888888887,600.0,10.0,0.3333333333333333,108.0,0,0,
117,0.05,25.0,11,0.3906666666666666,600.0,10.0,0.3333333333333333,107.0,0,0,
118,0.1,25.0,11,0.4225,600.0,10.0,0.3333333333333333,110.0,0,0,
119,0.2,25.0,11,0.4474444444444444,600.0,10.0,0.3333333333333333,527.0,0,0,
120,0.0,10.0,12,0.5056111111111111,600.0,11.0,0.3666666666666666,438.0,0,0,
121,0.025,10.0,12,0.5235000000000001,600.0,11.0,0.3666666666666666,403.0,0,0,
122,0.05,10.0,12,0.4930555555555555,600.0,10.0,0.3333333333333333,328.0,0,0,
123,0.1,10.0,12,0.42583333333333334,600.0,10.0,0.3333333333333333,124.0,0,0,
124,0.2,10.0,12,0.41088888888888886,600.0,10.0,0.3333333333333333,108.0,0,0,
125,0.0,25.0,12,0.43622222222222223,600.0,10.0,0.3333333333333333,165.0,0,0,
126,0.025,25.0,12,0.41966666666666663,600.0,10.0,0.3333333333333333,147.0,0,0,
127,0.05,25.0,12,0.43177777777777776,600.0,10.0,0.3333333333333333,243.0,0,0,
128,0.1,25.0,12,0.42194444444444446,600.0,10.0,0.3333333333333333,176.0,0,0,
129,0.2,25.0,12,0.4167222222222222,600.0,10.0,0.3333333333333333,136.0,0,0,
130,0.0,10.0,13,0.472,600.0,10.0,0.3333333333333333,235.0,0,0,
131,0.025,10.0,13,0.5427222222222222,600.0,12.0,0.4,541.0,0,0,
132,0.05,10.0,13,0.47783333333333333,600.0,10.0,0.3333333333333333,192.0,0,0,
133,0.1,10.0,13,0.48105555555555557,600.0,10.0,0.3333333333333333,221.0,0,0,
134,0.2,10.0,13,0.4552222222222222,600.0,10.0,0.3333333333333333,176.0,0,0,
135,0.0,25.0,13,0.5007222222222222,600.0,10.0,0.3333333333333333,321.0,0,0,
136,0.025,25.0,13,0.49077777777777776,600.0,10.0,0.3333333333333333,240.0,0,0,
137,0.05,25.0,13,0.44944444444444437,600.0,10.0,0.3333333333333333,168.0,0,0,
138,0.1,25.0,13,0.43838888888888883,600.0,10.0,0.3333333333333333,118.0,0,0,
139,0.2,25.0,13,0.4204444444444444,600.0,10.0,0.3333333333333333,124.0,0,0,
140,0.0,10.0,14,0.5355,600.0,11.0,0.3666666666666666,298.0,0,0,
141,0.025,10.0,14,0.5734999999999999,600.0,11.0,0.3666666666666666,464.0,0,0,
142,0.05,10.0,14,0.4765,600.0,10.0,0.3333333333333333,237.0,0,0,
143,0.1,10.0,14,0.4999444444444444,600.0,10.0,0.3333333333333333,269.0,0,0,
144,0.2,10.0,14,0.46327777777777773,600.0,10.0,0.3333333333333333,207.0,0,0,
145,0.0,25.0,14,0.599,600.0,12.0,0.4,392.0,0,0,
146,0.025,25.0,14,0.4827777777777777,600.0,11.0,0.3666666666666666,191.0,0,0,
147,0.05,25.0,14,0.49933333333333335,600.0,12.0,0.4,243.0,0,0,
