point_sensing_radius,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
10.0,40.0,40.0,100,24.18,2.552004559699546,0.8059999999999999,0.08506681865665154,0.29100000000000004,0.1276002279849773,0.33333333333333326,0.0,0.005333333333333336,0.01399053712580266,3.18,1.3734863109855322,12.36,1.2674638639679818,2.53,1.2346430392398584,0.11,0.34509550720186016,14.6,2.3050230613014078,11.74,3.471732894813379,5.4,2.3050230613014073,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,41.0,41.0,100,24.08,2.5452669483541093,0.8026666666666666,0.08484223161180363,0.29600000000000004,0.12726334741770545,0.33333333333333326,0.0,0.0033333333333333335,0.011111111111111112,3.23,1.3915691310404403,12.31,1.260871912526399,2.57,1.1997895438346464,0.12,0.4329835418058607,14.54,2.2715633383201097,11.67,3.4320385908216253,5.46,2.2715633383201097,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,42.0,42.0,100,23.91,2.523005262688835,0.797,0.08410017542296117,0.3045,0.12615026313444175,0.33333333333333326,0.0,0.005666666666666665,0.015752718754175356,3.3,1.3669992204412074,12.21,1.2576633777434927,2.66,1.1910440204231991,0.13,0.4181488788081164,14.35,2.284665614416466,11.7,3.40380060900438,5.65,2.2846656144164657,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,43.0,43.0,100,23.72,2.4415593626230194,0.7906666666666666,0.08138531208743396,0.314,0.12207796813115092,0.33333333333333326,0.0,0.006333333333333334,0.016202284690150833,3.39,1.3018634662853419,12.11,1.2704488986340239,2.74,1.2359922199094813,0.15,0.4351941398892446,14.13,2.2231790869215304,11.7,3.2333489534143167,5.87,2.2231790869215304,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,44.0,44.0,100,23.55,2.4261829354695488,0.785,0.08087276451565163,0.3225,0.12130914677347743,0.33333333333333326,0.0,0.00566666666666667,0.014256744716850227,3.47,1.321576958245587,12.02,1.2389307869891257,2.83,1.1981045636565057,0.15,0.4578165130223675,14.0,2.22020110109263,11.66,2.9787801720051976,6.0,2.22020110109263,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,45.0,45.0,100,23.46,2.4594488994262287,0.782,0.08198162998087433,0.327,0.12297244497131148,0.33333333333333326,0.0,0.002999999999999999,0.012619796324000601,3.52,1.3444987049740016,11.98,1.2389307869891262,2.89,1.2051656493711738,0.13,0.44164522532288863,13.94,2.2102607369386367,11.55,3.046358979224712,6.06,2.2102607369386362,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,46.0,46.0,100,23.34,2.4379988482028416,0.778,0.08126662827342808,0.33299999999999996,0.12189994241014213,0.33333333333333326,0.0,0.004,0.012783266278429397,3.62,1.3542301849904965,11.96,1.2137262101196105,2.96,1.1452140199609642,0.08,0.3938927711338647,13.9,2.1765508809521865,11.46,3.0064576961580354,6.1,2.176550880952186,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,47.0,47.0,100,23.22,2.496785812587735,0.774,0.08322619375292453,0.33899999999999997,0.12483929062938671,0.33333333333333326,0.0,0.003999999999999998,0.011872876973668773,3.68,1.3624102231566002,11.9,1.259308773041221,3.02,1.238930786989126,0.08,0.3673547263197997,13.76,2.2298253770466454,11.21,3.140787394037593,6.24,2.2298253770466454,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,48.0,48.0,100,23.07,2.5276451291646733,0.769,0.08425483763882247,0.3465,0.1263822564582337,0.33333333333333326,0.0,0.005000000000000001,0.012866403235209087,3.77,1.3696198691091577,11.84,1.2690567562189838,3.06,1.2777821695137526,0.1,0.46056618647183833,13.63,2.2412793965352313,11.17,3.136796925128394,6.37,2.2412793965352313,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,49.0,49.0,100,22.9,2.4720661623652216,0.7633333333333333,0.08240220541217406,0.355,0.12360330811826108,0.33333333333333326,0.0,0.005666666666666668,0.01644976708836645,3.85,1.3586609569571046,11.75,1.22577536788975,3.16,1.1522485702645795,0.09,0.37859388972001823,13.47,2.2493770181312356,10.92,3.1097110846995144,6.53,2.2493770181312356,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,50.0,50.0,100,22.73,2.5100002012153326,0.7576666666666667,0.08366667337384442,0.3635,0.12550001006076664,0.33333333333333326,0.0,0.0056666666666666705,0.017118455724009104,3.92,1.3756908273755597,11.65,1.2339883600452932,3.25,1.1403968828899222,0.1,0.46056618647183833,13.34,2.319090730907659,10.78,3.0865626005102644,6.66,2.3190907309076585,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,51.0,51.0,100,22.67,2.4497165368897504,0.7556666666666666,0.08165721789632506,0.3665,0.12248582684448754,0.33333333333333326,0.0,0.0020000000000000005,0.01040158841362101,3.96,1.3402849086532447,11.63,1.2198277739008072,3.22,1.1422112171776568,0.15,0.4793724854411022,13.2,2.3311678262929583,10.87,2.852094746750964,6.8,2.3311678262929583,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,52.0,52.0,100,22.51,2.4638599920868187,0.7503333333333333,0.08212866640289397,0.37450000000000006,0.12319299960434098,0.33333333333333326,0.0,0.005333333333333334,0.01477097891751993,4.05,1.343709624716425,11.56,1.2416997148337368,3.3,1.1590661514488048,0.14,0.5321957564959751,13.09,2.3359076707919435,10.82,2.7094298479588104,6.91,2.335907670791944,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,53.0,53.0,100,22.32,2.4613374043762914,0.7440000000000001,0.0820445801458764,0.384,0.12306687021881459,0.33333333333333326,0.0,0.006333333333333332,0.01620228469015082,4.13,1.3382862552571109,11.45,1.2421470496399745,3.42,1.1207861598724425,0.13,0.5972157622389641,12.95,2.302282573991527,10.76,2.6746849148898635,7.05,2.3022825739915267,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,54.0,54.0,100,22.19,2.3939950127792913,0.7396666666666667,0.07979983375930977,0.39049999999999996,0.11969975063896461,0.33333333333333326,0.0,0.004333333333333333,0.012222222222222223,4.21,1.2736252243580968,11.4,1.2390938363794466,3.43,1.1393334929162786,0.17,0.5695115752497348,12.82,2.1666899765645877,10.78,2.5646391047033763,7.18,2.166689976564588,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,55.0,55.0,100,22.07,2.3322724861162674,0.7356666666666666,0.07774241620387558,0.39649999999999996,0.11661362430581326,0.33333333333333326,0.0,0.004000000000000001,0.01088662107903635,4.31,1.2528351685660646,11.38,1.2208624207932073,3.51,1.1763236687822676,0.11,0.423906793643331,12.72,2.0698899595013374,10.44,2.6143349966573672,7.28,2.069889959501337,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,56.0,56.0,100,21.9,2.320309975808919,0.73,0.07734366586029733,0.405,0.11601549879044593,0.33333333333333326,0.0,0.00566666666666667,0.014256744716850227,4.41,1.2560560368378348,11.31,1.211852242885187,3.55,1.2007993970348219,0.14,0.47183287573701627,12.54,2.002120088427477,10.31,2.714327864790058,7.46,2.0021200884274775,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,57.0,57.0,100,21.78,2.285571784879745,0.726,0.07618572616265819,0.41100000000000003,0.11427858924398725,0.33333333333333326,0.0,0.004000000000000001,0.01187287697366878,4.48,1.2430006054103533,11.26,1.1859446220058705,3.63,1.142874278370817,0.11,0.42390679364333106,12.44,1.9864185323990982,10.28,2.7490310506015962,7.56,1.9864185323990977,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,58.0,58.0,100,21.65,2.306665790856376,0.7216666666666667,0.07688885969521256,0.4175,0.11533328954281882,0.33333333333333326,0.0,0.004333333333333335,0.013938295960270549,4.51,1.2267638301439667,11.16,1.2203658997583182,3.73,1.1621557815568706,0.11,0.4902071300001973,12.35,2.036906944116471,10.21,2.793553184376377,7.65,2.0369069441164704,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
