RunId,initial_fleet_load,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
165,1.0,15.0,10,0.3431666666666667,600.0,3.0,0.15,,0,0,
166,1.0,20.0,10,0.2325,600.0,1.0,0.05,247.0,0,0,
167,1.0,25.0,10,0.3453333333333334,600.0,4.0,0.2,,0,0,
168,1.5,10.0,10,0.5002222222222222,600.0,11.0,0.3666666666666666,317.0,0,0,
169,1.5,15.0,10,0.49694444444444447,600.0,9.0,0.3,412.0,0,0,
170,1.5,20.0,10,0.5381111111111111,600.0,13.0,0.4333333333333333,,0,0,
171,1.5,25.0,10,0.5827222222222223,600.0,14.0,0.4666666666666667,,0,0,
172,2.0,10.0,10,0.540875,600.0,18.0,0.45,122.0,0,0,
173,2.0,15.0,10,0.53375,600.0,18.0,0.45,144.0,0,0,
174,2.0,20.0,10,0.5417916666666667,600.0,18.0,0.45,189.0,0,0,
175,2.0,25.0,10,0.5861666666666666,600.0,18.0,0.45,311.0,0,0,
176,0.5,10.0,11,0.21433333333333332,600.0,0.0,0.0,290.0,0,0,
177,0.5,15.0,11,0.14833333333333334,600.0,0.0,0.0,252.0,0,0,
178,0.5,20.0,11,0.17033333333333334,600.0,0.0,0.0,242.0,0,0,
179,0.5,25.0,11,0.18783333333333332,600.0,0.0,0.0,259.0,0,0,
180,1.0,10.0,11,0.29875,600.0,0.0,0.0,436.0,0,0,
181,1.0,15.0,11,0.3045,600.0,3.0,0.15,,0,0,
182,1.0,20.0,11,0.3418333333333333,600.0,2.0,0.1,484.0,0,0,
183,1.0,25.0,11,0.23525000000000001,600.0,0.0,0.0,291.0,0,0,
184,1.5,10.0,11,0.4606666666666666,600.0,10.0,0.3333333333333333,250.0,0,0,
185,1.5,15.0,11,0.48311111111111105,600.0,11.0,0.3666666666666666,310.0,0,0,
186,1.5,20.0,11,0.5135555555555555,600.0,11.0,0.3666666666666666,355.0,0,0,
187,1.5,25.0,11,0.5639444444444445,600.0,11.0,0.3666666666666666,560.0,0,0,
188,2.0,10.0,11,0.5352916666666667,600.0,18.0,0.45,119.0,0,0,
189,2.0,15.0,11,0.5729583333333333,600.0,18.0,0.45,228.0,0,0,
190,2.0,20.0,11,0.5778333333333333,600.0,18.0,0.45,277.0,0,0,
191,2.0,25.0,11,0.49654166666666666,600.0,16.0,0.4,128.0,0,0,
192,0.5,10.0,12,0.17616666666666667,600.0,0.0,0.0,256.0,0,0,
193,0.5,15.0,12,0.2776666666666667,600.0,0.0,0.0,294.0,0,0,
194,0.5,20.0,12,0.15583333333333332,600.0,0.0,0.0,172.0,0,0,
195,0.5,25.0,12,0.19316666666666668,600.0,0.0,0.0,293.0,0,0,
196,1.0,10.0,12,0.20450000000000002,600.0,0.0,0.0,201.0,0,0,
197,1.0,15.0,12,0.261,600.0,1.0,0.05,359.0,0,0,
198,1.0,20.0,12,0.26558333333333334,600.0,1.0,0.05,367.0,0,0,
199,1.0,25.0,12,0.23074999999999998,600.0,2.0,0.1,305.0,0,0,
200,1.5,10.0,12,0.3332777777777778,600.0,6.0,0.2,177.0,0,0,
201,1.5,15.0,12,0.34488888888888886,600.0,4.0,0.1333333333333333,116.0,0,0,
202,1.5,20.0,12,0.3577222222222222,600.0,6.0,0.2,216.0,0,0,
203,1.5,25.0,12,0.3583888888888888,600.0,5.0,0.1666666666666666,150.0,0,0,
204,2.0,10.0,12,0.455625,600.0,14.0,0.35,86.0,0,0,
205,2.0,15.0,12,0.4637916666666666,600.0,15.0,0.375,80.0,0,0,
206,2.0,20.0,12,0.5015833333333333,600.0,16.0,0.4,95.0,0,0,
207,2.0,25.0,12,0.4664166666666666,600.0,14.0,0.35,101.0,0,0,
208,0.5,10.0,13,0.19316666666666668,600.0,0.0,0.0,141.0,0,0,
209,0.5,15.0,13,0.30683333333333335,600.0,0.0,0.0,387.0,0,0,
210,0.5,20.0,13,0.14600000000000002,600.0,0.0,0.0,125.0,0,0,
211,0.5,25.0,13,0.18433333333333335,600.0,0.0,0.0,209.0,0,0,
212,1.0,10.0,13,0.27699999999999997,600.0,1.0,0.05,454.0,0,0,
213,1.0,15.0,13,0.2981666666666667,600.0,1.0,0.05,437.0,0,0,
214,1.0,20.0,13,0.37133333333333335,600.0,4.0,0.2,,0,0,
215,1.0,25.0,13,0.32525,600.0,4.0,0.2,,0,0,
216,1.5,10.0,13,0.4552222222222222,600.0,9.0,0.3,238.0,0,0,
217,1.5,15.0,13,0.4949444444444444,600.0,11.0,0.3666666666666666,273.0,0,0,
218,1.5,20.0,13,0.4775,600.0,9.0,0.3,321.0,0,0,
219,1.5,25.0,13,0.45666666666666667,600.0,10.0,0.3333333333333333,247.0,0,0,
220,2.0,10.0,13,0.47070833333333334,600.0,14.0,0.35,140.0,0,0,
221,2.0,15.0,13,0.45962499999999995,600.0,14.0,0.35,98.0,0,0,
222,2.0,20.0,13,0.5044166666666666,600.0,15.0,0.375,129.0,0,0,
223,2.0,25.0,13,0.5296666666666667,600.0,15.0,0.375,179.0,0,0,
224,0.5,10.0,14,0.15016666666666667,600.0,0.0,0.0,111.0,0,0,
225,0.5,15.0,14,0.1495,600.0,0.0,0.0,105.0,0,0,
226,0.5,20.0,14,0.15866666666666668,600.0,0.0,0.0,113.0,0,0,
227,0.5,25.0,14,0.3025,600.0,0.0,0.0,368.0,0,0,
228,1.0,10.0,14,0.2585,600.0,1.0,0.05,272.0,0,0,
229,1.0,15.0,14,0.4560833333333333,600.0,4.0,0.2,,0,0,
230,1.0,20.0,14,0.2813333333333334,600.0,1.0,0.05,236.0,0,0,
231,1.0,25.0,14,0.40958333333333335,600.0,4.0,0.2,,0,0,
232,1.5,10.0,14,0.5000555555555555,600.0,11.0,0.3666666666666666,373.0,0,0,
