point_sensing_radius,drone_sensing_radius,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,excess_service_units_mean,excess_service_units_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
10.0,10.0,22.0,22.0,100,27.45,2.0517299918839123,0.915,0.06839099972946375,0.1275,0.10258649959419565,0.33333333333333326,0.0,0.008666666666666666,0.01683084123300288,1.52,1.259148341322239,13.97,0.9261083995282445,0.74,0.824131008512554,0.29,0.5558685986722932,0.39,0.8274946977156257,17.27,2.2690495496101137,13.57,3.4880894020606297,2.73,2.2690495496101137,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,23.0,23.0,100,27.14,2.165011022436775,0.9046666666666667,0.0721670340812258,0.14300000000000002,0.10825055112183872,0.33333333333333326,0.0,0.010333333333333337,0.016880779552320792,1.69,1.315755342460034,13.83,0.9645745385422736,1.0,0.9428090415820636,0.17,0.45070091316893646,0.25,0.7159792333764037,17.1,2.2224747331283514,13.59,3.3305897800281987,2.9,2.222474733128352,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,24.0,24.0,100,26.92,2.232360710869626,0.8973333333333333,0.0744120236956542,0.154,0.11161803554348132,0.33333333333333326,0.0,0.007333333333333341,0.01680414678125659,1.79,1.289389488294849,13.71,1.047314989326844,1.12,1.056772291824344,0.17,0.4277023415055065,0.21,0.5558685986722932,16.96,2.169205971191889,13.5,3.2395909456209893,3.04,2.169205971191889,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,25.0,25.0,100,26.73,2.2779354466248383,0.8909999999999999,0.07593118155416122,0.1635,0.11389677233124189,0.33333333333333326,0.0,0.00633333333333333,0.01397046748826353,1.88,1.2735062551154515,13.61,1.1182146665126695,1.21,1.1396880664852502,0.18,0.43531017619043716,0.25,0.6571287406727709,16.75,2.203647114685245,13.54,3.2237126472939903,3.25,2.203647114685245,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,26.0,26.0,100,26.51,2.3462628784834605,0.8836666666666666,0.07820876261611535,0.1745,0.11731314392417304,0.33333333333333326,0.0,0.007333333333333333,0.017459267973181793,2.0,1.310408988511494,13.51,1.1414592822038347,1.28,1.0738395192631502,0.21,0.4333333333333333,0.25,0.5388914922357193,16.55,2.3841861157098108,13.44,3.134429208747019,3.45,2.3841861157098108,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,27.0,27.0,100,26.35,2.3154073315749675,0.8783333333333333,0.07718024438583221,0.1825,0.11577036657874837,0.33333333333333326,0.0,0.00533333333333333,0.014770978917519925,2.11,1.3172898410192517,13.46,1.1229470606444905,1.38,1.0423361484975213,0.16,0.36845294917747057,0.19,0.48606854070452477,16.44,2.345509356496824,13.46,3.1508216020074458,3.56,2.3455093564968226,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,28.0,28.0,100,26.1,2.3376583293215596,0.87,0.07792194431071864,0.195,0.11688291646607797,0.33333333333333326,0.0,0.008333333333333333,0.01666666666666666,2.22,1.3301477095769962,13.32,1.1270772068953525,1.53,1.067944310582275,0.15,0.3859920970562727,0.17,0.45070091316893646,16.27,2.282365421923474,13.41,3.2724593044054644,3.73,2.2823654219234744,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,29.0,29.0,100,25.9,2.3847156406726326,0.8633333333333333,0.07949052135575442,0.205,0.11923578203363165,0.33333333333333326,0.0,0.006666666666666663,0.017082358106351267,2.36,1.3963878364906328,13.26,1.1157277825923697,1.56,1.0760946974963674,0.18,0.4114522199392407,0.24,0.5706632681858591,16.06,2.2688937365770987,13.4,3.22552947654186,3.94,2.2688937365770987,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,30.0,30.0,100,25.69,2.4108131827290573,0.8563333333333334,0.08036043942430186,0.2155,0.12054065913645284,0.33333333333333326,0.0,0.006999999999999995,0.017275089920520376,2.49,1.410601991987102,13.18,1.1135528725660044,1.64,1.1504939650586457,0.18,0.43531017619043716,0.19,0.46482319871173183,15.95,2.1898526309901647,13.24,3.194439613522917,4.05,2.1898526309901647,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,31.0,31.0,100,25.48,2.492331673697779,0.8493333333333334,0.08307772245659263,0.226,0.12461658368488895,0.33333333333333326,0.0,0.006999999999999995,0.01852895328907643,2.56,1.3730449829676101,13.04,1.2302582466845544,1.78,1.219206564313302,0.18,0.5001009999000304,0.19,0.5259911279353167,15.76,2.292367661381894,13.21,3.1181935977631845,4.24,2.2923676613818946,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,32.0,32.0,100,25.25,2.4715553521185516,0.8416666666666667,0.08238517840395168,0.2375,0.12357776760592758,0.33333333333333326,0.0,0.007666666666666668,0.01487320144461579,2.64,1.352289491450284,12.89,1.2218135221171367,1.94,1.1876468542900496,0.17,0.42770234150550646,0.22,0.6289320754704403,15.49,2.36769077287546,13.16,3.0308847926410247,4.51,2.3676907728754606,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,33.0,33.0,100,25.1,2.5564337533668917,0.8366666666666667,0.08521445844556304,0.245,0.12782168766834462,0.33333333333333326,0.0,0.005000000000000002,0.013710981778281044,2.68,1.3549758654528117,12.78,1.2837759960681647,2.07,1.2733079483428709,0.15,0.4578165130223675,0.2,0.6195469181897233,15.37,2.4315061633115844,13.01,2.959303084760793,4.63,2.4315061633115844,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,34.0,34.0,100,24.96,2.5062346500701245,0.8320000000000001,0.0835411550023375,0.252,0.12531173250350625,0.33333333333333326,0.0,0.004666666666666665,0.011624502933992566,2.78,1.3148721948877344,12.74,1.2840906856172147,2.13,1.244421897342641,0.13,0.3932511470376973,0.19,0.5978919195596704,15.24,2.3788631526403323,12.87,2.8802882852347618,4.76,2.3788631526403323,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,35.0,35.0,100,24.77,2.4857370916669552,0.8256666666666667,0.08285790305556512,0.2615,0.12428685458334772,0.33333333333333326,0.0,0.0063333333333333375,0.015494106623724403,2.87,1.3607410340017534,12.64,1.235174710580073,2.2,1.247219128924647,0.16,0.3684529491774707,0.19,0.4860685407045249,15.05,2.2758059955305794,12.79,2.7935531843763766,4.95,2.2758059955305785,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,36.0,36.0,100,24.67,2.4784118407813613,0.8223333333333334,0.08261372802604536,0.26649999999999996,0.12392059203906801,0.33333333333333326,0.0,0.0033333333333333305,0.010050378152592115,2.93,1.3503086067019392,12.6,1.2309149097933272,2.29,1.2496059985111907,0.11,0.3732196796699356,0.16,0.5635386034476765,14.99,2.271896817972848,12.67,2.6248809496813377,5.01,2.2718968179728485,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
