RunId,point_sensing_radius,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,mean_excess_service_units,final_excess_service_units,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
268,10.0,10.0,67,0.3497222222222222,600.0,6.0,0.2,0.011666666666666667,0.0,122.0,0,0,
269,25.0,10.0,67,0.6229444444444444,600.0,18.0,0.6,0.02666666666666667,0.0,,0,0,
270,10.0,25.0,67,0.5385,600.0,10.0,0.3333333333333333,0.02,0.0,420.0,0,0,
271,25.0,25.0,67,0.4141111111111111,600.0,9.0,0.3,0.023333333333333334,0.0,172.0,0,0,
272,10.0,10.0,68,0.4653888888888889,600.0,9.0,0.3,0.016666666666666666,0.0,206.0,0,0,
273,25.0,10.0,68,0.6858333333333333,600.0,20.0,0.6666666666666666,0.051666666666666666,0.0,,0,0,
274,10.0,25.0,68,0.5523333333333333,600.0,12.0,0.4,0.028333333333333332,0.0,510.0,0,0,
275,25.0,25.0,68,0.4230555555555555,600.0,8.0,0.2666666666666666,1.76,2.0,178.0,0,0,
276,10.0,10.0,69,0.4874444444444444,600.0,10.0,0.3333333333333333,0.018333333333333333,0.0,307.0,0,0,
277,25.0,10.0,69,0.6871666666666666,600.0,20.0,0.6666666666666666,0.018333333333333333,0.0,,0,0,
278,10.0,25.0,69,0.5049444444444445,600.0,10.0,0.3333333333333333,0.02,0.0,331.0,0,0,
279,25.0,25.0,69,0.42194444444444446,600.0,9.0,0.3,0.02666666666666667,0.0,177.0,0,0,
280,10.0,10.0,70,0.4202222222222222,600.0,9.0,0.3,0.013333333333333334,0.0,211.0,0,0,
281,25.0,10.0,70,0.6187777777777778,600.0,18.0,0.6,0.03666666666666667,0.0,,0,0,
282,10.0,25.0,70,0.34327777777777774,600.0,7.0,0.2333333333333333,0.013333333333333334,0.0,90.0,0,0,
283,25.0,25.0,70,0.3306111111111111,600.0,7.0,0.2333333333333333,0.06166666666666667,0.0,78.0,0,0,
284,10.0,10.0,71,0.4368333333333333,600.0,8.0,0.2666666666666666,0.016666666666666666,0.0,281.0,0,0,
285,25.0,10.0,71,0.6606666666666666,600.0,19.0,0.6333333333333333,0.043333333333333335,0.0,,0,0,
286,10.0,25.0,71,0.4816666666666667,600.0,9.0,0.3,0.018333333333333333,0.0,355.0,0,0,
287,25.0,25.0,71,0.3892222222222222,600.0,6.0,0.2,0.05,0.0,118.0,0,0,
288,10.0,10.0,72,0.4675555555555555,600.0,10.0,0.3333333333333333,0.006666666666666667,0.0,188.0,0,0,
289,25.0,10.0,72,0.6933888888888888,600.0,20.0,0.6666666666666666,0.02666666666666667,0.0,,0,0,
